                   LOVE WAVE        MODE #  0
        T = 0.8250E+01 C =    0.1432E+01 U   = 0.5209E+00
        AL= 0.5124E+00 GAMMA= 0.1218E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.196E+01  0.316E+01 -0.392E+00
    2   0.395E+00 -0.590E+00 -0.411E+00  0.902E+00  0.115E+00
    3   0.200E+00 -0.689E+00 -0.120E+00  0.320E+00  0.847E-01
    4   0.106E+00 -0.599E+00 -0.199E-01  0.107E+00  0.395E-01
    5   0.636E-01 -0.433E+00 -0.637E-02  0.422E-01  0.173E-01
    6   0.384E-01 -0.301E+00 -0.455E-02  0.171E-01  0.740E-02
    7   0.217E-01 -0.216E+00 -0.253E-02  0.641E-02  0.308E-02
    8   0.113E-01 -0.159E+00 -0.682E-03  0.204E-02  0.113E-02
    9   0.611E-02 -0.110E+00 -0.963E-04  0.664E-03  0.406E-03
   10   0.358E-02 -0.707E-01 -0.130E-04  0.238E-03  0.150E-03
   11   0.216E-02 -0.440E-01  0.108E-05  0.875E-04  0.554E-04
   12   0.132E-02 -0.268E-01  0.429E-06  0.329E-04  0.206E-04
   13   0.813E-03 -0.163E-01  0.132E-06  0.124E-04  0.766E-05
   14   0.499E-03 -0.997E-02  0.102E-07  0.468E-05  0.286E-05
   15   0.306E-03 -0.610E-02 -0.298E-07  0.176E-05  0.107E-05
   16   0.186E-03 -0.376E-02 -0.565E-09  0.659E-06  0.399E-06
   17   0.114E-03 -0.230E-02  0.227E-08  0.246E-06  0.150E-06
   18   0.701E-04 -0.141E-02 -0.712E-09  0.925E-07  0.565E-07
   19   0.428E-04 -0.863E-03 -0.286E-09  0.346E-07  0.212E-07
   20   0.262E-04 -0.530E-03 -0.936E-10  0.130E-07  0.793E-08
   21   0.160E-04 -0.325E-03 -0.368E-10  0.485E-08  0.297E-08
   22   0.976E-05 -0.199E-03 -0.305E-10  0.182E-08  0.111E-08
   23   0.594E-05 -0.123E-03 -0.320E-10  0.680E-09  0.417E-09
   24   0.359E-05 -0.762E-04 -0.325E-10  0.255E-09  0.156E-09
   25   0.211E-05 -0.484E-04 -0.329E-10  0.955E-10  0.590E-10
   26   0.115E-05 -0.325E-04 -0.831E-11  0.317E-10  0.204E-10
   27   0.645E-06 -0.212E-04  0.930E-16  0.106E-10  0.703E-11
   28   0.390E-06 -0.128E-04  0.930E-16  0.389E-11  0.257E-11
   29   0.236E-06 -0.775E-05  0.930E-16  0.143E-11  0.942E-12
   30   0.143E-06 -0.469E-05  0.930E-16  0.522E-12  0.345E-12
   31   0.864E-07 -0.284E-05  0.930E-16  0.191E-12  0.126E-12
   32   0.523E-07 -0.172E-05  0.930E-16  0.700E-13  0.462E-13
   33   0.317E-07 -0.104E-05  0.930E-16  0.256E-13  0.169E-13
   34   0.192E-07 -0.627E-06  0.632E-16  0.938E-14  0.620E-14
   35   0.116E-07 -0.379E-06  0.234E-16  0.344E-14  0.227E-14
   36   0.704E-08 -0.229E-06  0.805E-17  0.126E-14  0.831E-15
   37   0.427E-08 -0.138E-06  0.317E-17  0.463E-15  0.305E-15
   38   0.259E-08 -0.836E-07  0.934E-18  0.170E-15  0.112E-15
   39   0.157E-08 -0.505E-07  0.277E-18  0.623E-16  0.409E-16
   40   0.951E-09 -0.305E-07  0.000E+00  0.229E-16  0.150E-16
   41   0.576E-09 -0.185E-07  0.000E+00  0.132E-16  0.867E-17
