                   LOVE WAVE        MODE #  0
        T = 0.6250E+01 C =    0.9542E+00 U   = 0.4571E+00
        AL= 0.1166E+01 GAMMA= 0.1833E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.973E+00  0.256E+01 -0.112E+00
    2   0.246E+00 -0.707E+00 -0.636E-01  0.320E+00  0.645E-01
    3   0.720E-01 -0.483E+00 -0.695E-02  0.401E-01  0.129E-01
    4   0.215E-01 -0.252E+00 -0.324E-03  0.458E-02  0.195E-02
    5   0.754E-02 -0.106E+00 -0.213E-04  0.617E-03  0.285E-03
    6   0.275E-02 -0.419E-01 -0.729E-05  0.862E-04  0.411E-04
    7   0.939E-03 -0.174E-01 -0.193E-05  0.113E-04  0.578E-05
    8   0.285E-03 -0.766E-02 -0.202E-06  0.127E-05  0.742E-06
    9   0.891E-04 -0.322E-02 -0.101E-07  0.145E-06  0.927E-07
   10   0.305E-04 -0.123E-02 -0.550E-09  0.180E-07  0.119E-07
   11   0.108E-04 -0.456E-03  0.102E-10  0.231E-08  0.153E-08
   12   0.390E-05 -0.164E-03  0.160E-11  0.303E-09  0.199E-09
   13   0.141E-05 -0.591E-04  0.215E-12  0.398E-10  0.258E-10
   14   0.513E-06 -0.213E-04  0.165E-13  0.524E-11  0.335E-11
   15   0.186E-06 -0.767E-05 -0.614E-14  0.689E-12  0.436E-12
   16   0.668E-07 -0.279E-05 -0.121E-15  0.896E-13  0.569E-13
   17   0.241E-07 -0.101E-05  0.706E-16  0.117E-13  0.746E-14
   18   0.877E-08 -0.364E-06 -0.435E-17  0.153E-14  0.980E-15
   19   0.316E-08 -0.132E-06 -0.647E-18  0.200E-15  0.128E-15
   20   0.114E-08 -0.478E-07 -0.626E-19  0.261E-16  0.167E-16
   21   0.412E-09 -0.173E-07 -0.231E-20  0.340E-17  0.218E-17
   22   0.149E-09 -0.626E-08  0.643E-22  0.444E-18  0.285E-18
   23   0.538E-10 -0.226E-08 -0.120E-21  0.581E-19  0.372E-19
   24   0.194E-10 -0.819E-09 -0.145E-21  0.759E-20  0.486E-20
   25   0.691E-11 -0.300E-09 -0.151E-21  0.993E-21  0.636E-21
   26   0.220E-11 -0.121E-09 -0.160E-22  0.116E-21  0.769E-22
   27   0.712E-12 -0.478E-10  0.560E-31  0.136E-22  0.927E-23
   28   0.255E-12 -0.171E-10  0.560E-31  0.174E-23  0.119E-23
   29   0.912E-13 -0.612E-11  0.560E-31  0.223E-24  0.152E-24
   30   0.326E-13 -0.219E-11  0.560E-31  0.286E-25  0.195E-25
   31   0.117E-13 -0.784E-12  0.560E-31  0.366E-26  0.250E-26
   32   0.418E-14 -0.281E-12  0.560E-31  0.469E-27  0.320E-27
   33   0.150E-14 -0.100E-12  0.560E-31  0.601E-28  0.410E-28
   34   0.536E-15 -0.359E-13  0.197E-31  0.770E-29  0.525E-29
   35   0.192E-15 -0.128E-13  0.259E-32  0.987E-30  0.673E-30
   36   0.689E-16 -0.458E-14  0.301E-33  0.127E-30  0.862E-31
   37   0.247E-16 -0.164E-14  0.453E-34  0.163E-31  0.111E-31
   38   0.886E-17 -0.586E-15  0.421E-35  0.209E-32  0.142E-32
   39   0.318E-17 -0.209E-15  0.000E+00  0.268E-33  0.182E-33
   40   0.114E-17 -0.748E-16  0.000E+00  0.344E-34  0.233E-34
   41   0.408E-18 -0.268E-16  0.000E+00  0.506E-35  0.343E-35
