                   LOVE WAVE        MODE #  0
        T = 0.6000E+01 C =    0.9146E+00 U   = 0.4608E+00
        AL= 0.1233E+01 GAMMA= 0.1894E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.855E+00  0.242E+01 -0.918E-01
    2   0.230E+00 -0.718E+00 -0.463E-01  0.266E+00  0.549E-01
    3   0.618E-01 -0.449E+00 -0.427E-02  0.279E-01  0.912E-02
    4   0.167E-01 -0.215E+00 -0.165E-03  0.266E-02  0.114E-02
    5   0.537E-02 -0.824E-01 -0.850E-05  0.299E-03  0.139E-03
    6   0.179E-02 -0.297E-01 -0.248E-05  0.348E-04  0.167E-04
    7   0.559E-03 -0.112E-01 -0.564E-06  0.380E-05  0.195E-05
    8   0.155E-03 -0.451E-02 -0.498E-07  0.357E-06  0.209E-06
    9   0.441E-04 -0.173E-02 -0.207E-08  0.338E-07  0.217E-07
   10   0.138E-04 -0.606E-03 -0.952E-10  0.351E-08  0.232E-08
   11   0.443E-05 -0.205E-03  0.142E-11  0.375E-09  0.249E-09
   12   0.147E-05 -0.673E-04  0.186E-12  0.410E-10  0.269E-10
   13   0.485E-06 -0.221E-04  0.212E-13  0.448E-11  0.291E-11
   14   0.161E-06 -0.726E-05  0.145E-14  0.491E-12  0.315E-12
   15   0.532E-07 -0.239E-05 -0.424E-15  0.538E-13  0.342E-13
   16   0.174E-07 -0.794E-06 -0.756E-17  0.583E-14  0.371E-14
   17   0.575E-08 -0.262E-06  0.343E-17  0.632E-15  0.405E-15
   18   0.190E-08 -0.862E-07 -0.169E-18  0.691E-16  0.443E-16
   19   0.627E-09 -0.285E-07 -0.212E-19  0.751E-17  0.482E-17
   20   0.206E-09 -0.943E-08 -0.172E-20  0.816E-18  0.525E-18
   21   0.680E-10 -0.312E-08 -0.525E-22  0.887E-19  0.570E-19
   22   0.224E-10 -0.103E-08  0.237E-23  0.965E-20  0.620E-20
   23   0.740E-11 -0.339E-09 -0.118E-23  0.105E-20  0.675E-21
   24   0.244E-11 -0.112E-09 -0.157E-23  0.114E-21  0.734E-22
   25   0.794E-12 -0.374E-10 -0.165E-23  0.125E-22  0.800E-23
   26   0.231E-12 -0.138E-10 -0.148E-24  0.121E-23  0.807E-24
   27   0.680E-13 -0.497E-11  0.134E-33  0.119E-24  0.810E-25
   28   0.222E-13 -0.162E-11  0.134E-33  0.126E-25  0.865E-26
   29   0.725E-14 -0.530E-12  0.134E-33  0.135E-26  0.922E-27
   30   0.237E-14 -0.173E-12  0.134E-33  0.144E-27  0.984E-28
   31   0.774E-15 -0.566E-13  0.134E-33  0.154E-28  0.105E-28
   32   0.253E-15 -0.185E-13  0.134E-33  0.164E-29  0.112E-29
   33   0.826E-16 -0.604E-14  0.134E-33  0.175E-30  0.120E-30
   34   0.270E-16 -0.197E-14  0.409E-34  0.187E-31  0.128E-31
   35   0.884E-17 -0.643E-15  0.410E-35  0.200E-32  0.136E-32
   36   0.289E-17 -0.210E-15  0.000E+00  0.213E-33  0.145E-33
   37   0.946E-18 -0.684E-16  0.000E+00  0.228E-34  0.155E-34
   38   0.310E-18 -0.223E-16  0.000E+00  0.244E-35  0.166E-35
   39   0.101E-18 -0.728E-17  0.000E+00  0.000E+00  0.000E+00
   40   0.332E-19 -0.237E-17  0.000E+00  0.000E+00  0.000E+00
   41   0.108E-19 -0.776E-18  0.000E+00  0.000E+00  0.000E+00
