                      RAYLEIGH WAVE      MODE #  0
        T = 0.9500E+01 C =    0.2506E+01 U   = 0.1430E+01
        AR= 0.1098E-03 GAMMA= 0.2743E-03 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1   0.216E+02  0.000E+00  0.100E+01  0.000E+00 -0.101E+01  0.471E-01  0.134E+01 -0.308E+00
    2   0.112E+02 -0.957E+01  0.421E+01 -0.334E+01 -0.320E+00  0.860E-01  0.421E+00 -0.101E-01
    3   0.683E+01 -0.104E+02  0.525E+01 -0.106E+02 -0.158E+00  0.106E+00  0.745E-01  0.347E-02
    4   0.419E+01 -0.639E+01  0.537E+01 -0.182E+02 -0.978E-01  0.965E-01 -0.327E-01 -0.293E-02
    5   0.253E+01 -0.317E+00  0.511E+01 -0.245E+02 -0.875E-01  0.773E-01 -0.421E-01 -0.250E-02
    6   0.141E+01  0.502E+01  0.464E+01 -0.291E+02 -0.835E-01  0.634E-01 -0.202E-01  0.105E-01
    7   0.744E+00  0.934E+01  0.404E+01 -0.318E+02 -0.706E-01  0.489E-01  0.337E-02  0.218E-01
    8   0.391E+00  0.130E+02  0.343E+01 -0.328E+02 -0.364E-01  0.277E-01  0.143E-01  0.187E-01
    9   0.118E+00  0.162E+02  0.299E+01 -0.326E+02 -0.118E-01  0.140E-01  0.197E-01  0.146E-01
   10  -0.128E+00  0.184E+02  0.266E+01 -0.313E+02 -0.364E-02  0.779E-02  0.250E-01  0.148E-01
   11  -0.308E+00  0.193E+02  0.236E+01 -0.294E+02 -0.379E-05  0.429E-02  0.275E-01  0.149E-01
   12  -0.432E+00  0.190E+02  0.209E+01 -0.270E+02 -0.209E-03  0.252E-02  0.282E-01  0.150E-01
   13  -0.497E+00  0.182E+02  0.183E+01 -0.245E+02 -0.563E-03  0.150E-02  0.266E-01  0.140E-01
   14  -0.521E+00  0.169E+02  0.160E+01 -0.220E+02 -0.953E-03  0.915E-03  0.236E-01  0.124E-01
   15  -0.515E+00  0.155E+02  0.138E+01 -0.196E+02 -0.126E-02  0.571E-03  0.202E-01  0.106E-01
   16  -0.488E+00  0.140E+02  0.119E+01 -0.173E+02 -0.740E-03  0.339E-03  0.164E-01  0.864E-02
   17  -0.456E+00  0.125E+02  0.101E+01 -0.152E+02 -0.633E-03  0.215E-03  0.131E-01  0.703E-02
   18  -0.418E+00  0.110E+02  0.862E+00 -0.133E+02 -0.869E-03  0.149E-03  0.103E-01  0.563E-02
   19  -0.376E+00  0.956E+01  0.725E+00 -0.116E+02 -0.799E-03  0.981E-04  0.789E-02  0.435E-02
   20  -0.334E+00  0.827E+01  0.606E+00 -0.101E+02 -0.735E-03  0.660E-04  0.595E-02  0.331E-02
   21  -0.293E+00  0.710E+01  0.503E+00 -0.877E+01 -0.697E-03  0.466E-04  0.443E-02  0.250E-02
   22  -0.254E+00  0.607E+01  0.413E+00 -0.761E+01 -0.688E-03  0.360E-04  0.327E-02  0.187E-02
   23  -0.217E+00  0.519E+01  0.335E+00 -0.659E+01 -0.692E-03  0.311E-04  0.238E-02  0.139E-02
   24  -0.180E+00  0.446E+01  0.269E+00 -0.570E+01 -0.695E-03  0.300E-04  0.171E-02  0.102E-02
   25  -0.142E+00  0.390E+01  0.212E+00 -0.491E+01 -0.699E-03  0.328E-04  0.122E-02  0.757E-03
   26  -0.102E+00  0.352E+01  0.165E+00 -0.417E+01 -0.257E-03  0.122E-04  0.708E-03  0.443E-03
   27  -0.783E-01  0.311E+01  0.133E+00 -0.349E+01  0.648E-06  0.259E-05  0.420E-03  0.262E-03
   28  -0.665E-01  0.262E+01  0.110E+00 -0.291E+01  0.648E-06  0.157E-05  0.297E-03  0.185E-03
   29  -0.563E-01  0.219E+01  0.913E-01 -0.242E+01  0.648E-06  0.950E-06  0.209E-03  0.130E-03
   30  -0.474E-01  0.184E+01  0.755E-01 -0.201E+01  0.648E-06  0.573E-06  0.146E-03  0.911E-04
   31  -0.398E-01  0.153E+01  0.623E-01 -0.166E+01  0.648E-06  0.344E-06  0.102E-03  0.634E-04
   32  -0.333E-01  0.127E+01  0.514E-01 -0.137E+01  0.648E-06  0.205E-06  0.702E-04  0.439E-04
   33  -0.279E-01  0.106E+01  0.424E-01 -0.113E+01  0.648E-06  0.121E-06  0.484E-04  0.302E-04
   34  -0.232E-01  0.876E+00  0.349E-01 -0.933E+00  0.568E-06  0.710E-07  0.332E-04  0.208E-04
   35  -0.194E-01  0.724E+00  0.287E-01 -0.767E+00  0.369E-06  0.426E-07  0.228E-04  0.142E-04
   36  -0.161E-01  0.597E+00  0.236E-01 -0.630E+00  0.226E-06  0.257E-07  0.156E-04  0.972E-05
   37  -0.134E-01  0.492E+00  0.193E-01 -0.517E+00  0.142E-06  0.155E-07  0.106E-04  0.662E-05
   38  -0.111E-01  0.404E+00  0.158E-01 -0.424E+00  0.697E-07  0.951E-08  0.722E-05  0.450E-05
   39  -0.915E-02  0.332E+00  0.130E-01 -0.348E+00  0.305E-07  0.586E-08  0.490E-05  0.305E-05
   40  -0.755E-02  0.273E+00  0.106E-01 -0.285E+00  0.000E+00  0.372E-08  0.331E-05  0.206E-05
   41  -0.621E-02  0.224E+00  0.866E-02 -0.233E+00  0.000E+00  0.575E-08  0.675E-05  0.420E-05
