                   LOVE WAVE        MODE #  0
        T = 0.4250E+01 C =    0.7269E+00 U   = 0.5086E+00
        AL= 0.1560E+01 GAMMA= 0.2422E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.310E+00  0.163E+01 -0.193E-01
    2   0.140E+00 -0.781E+00 -0.300E-02  0.584E-01  0.134E-01
    3   0.164E-01 -0.210E+00 -0.514E-04  0.118E-02  0.403E-03
    4   0.184E-02 -0.426E-01 -0.337E-06  0.200E-04  0.887E-05
    5   0.245E-03 -0.682E-02 -0.234E-08  0.387E-06  0.186E-06
    6   0.341E-04 -0.101E-02 -0.128E-09  0.779E-08  0.383E-08
    7   0.449E-05 -0.157E-03 -0.573E-11  0.147E-09  0.770E-10
    8   0.517E-06 -0.263E-04 -0.906E-13  0.239E-11  0.142E-11
    9   0.603E-07 -0.421E-05 -0.640E-15  0.390E-13  0.253E-13
   10   0.775E-08 -0.611E-06 -0.528E-17  0.690E-15  0.461E-15
   11   0.103E-08 -0.854E-07  0.116E-19  0.125E-16  0.843E-17
   12   0.140E-09 -0.116E-07  0.265E-21  0.233E-18  0.155E-18
   13   0.192E-10 -0.157E-08  0.539E-23  0.435E-20  0.286E-20
   14   0.262E-11 -0.213E-09  0.823E-25  0.812E-22  0.528E-22
   15   0.358E-12 -0.289E-10 -0.329E-26  0.152E-23  0.974E-24
   16   0.484E-13 -0.397E-11 -0.137E-28  0.280E-25  0.180E-25
   17   0.659E-14 -0.541E-12  0.817E-30  0.517E-27  0.336E-27
   18   0.902E-15 -0.733E-13 -0.589E-32  0.962E-29  0.625E-29
   19   0.123E-15 -0.100E-13 -0.131E-33  0.178E-30  0.116E-30
   20   0.166E-16 -0.137E-14 -0.189E-35  0.330E-32  0.215E-32
   21   0.226E-17 -0.186E-15  0.000E+00  0.611E-34  0.398E-34
   22   0.308E-18 -0.254E-16  0.000E+00  0.113E-35  0.000E+00
   23   0.419E-19 -0.346E-17  0.000E+00  0.000E+00  0.000E+00
   24   0.571E-20 -0.471E-18  0.000E+00  0.000E+00  0.000E+00
   25   0.777E-21 -0.642E-19  0.000E+00  0.000E+00  0.000E+00
   26   0.931E-22 -0.979E-20  0.000E+00  0.000E+00  0.000E+00
   27   0.112E-22 -0.147E-20  0.000E+00  0.000E+00  0.000E+00
   28   0.151E-23 -0.198E-21  0.000E+00  0.000E+00  0.000E+00
   29   0.203E-24 -0.266E-22  0.000E+00  0.000E+00  0.000E+00
   30   0.274E-25 -0.359E-23  0.000E+00  0.000E+00  0.000E+00
   31   0.369E-26 -0.483E-24  0.000E+00  0.000E+00  0.000E+00
   32   0.497E-27 -0.651E-25  0.000E+00  0.000E+00  0.000E+00
   33   0.670E-28 -0.877E-26  0.000E+00  0.000E+00  0.000E+00
   34   0.902E-29 -0.118E-26  0.000E+00  0.000E+00  0.000E+00
   35   0.122E-29 -0.159E-27  0.000E+00  0.000E+00  0.000E+00
   36   0.164E-30 -0.213E-28  0.000E+00  0.000E+00  0.000E+00
   37   0.222E-31 -0.287E-29  0.000E+00  0.000E+00  0.000E+00
   38   0.299E-32 -0.386E-30  0.000E+00  0.000E+00  0.000E+00
   39   0.404E-33 -0.519E-31  0.000E+00  0.000E+00  0.000E+00
   40   0.545E-34 -0.699E-32  0.000E+00  0.000E+00  0.000E+00
   41   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
