                   LOVE WAVE        MODE #  0
        T = 0.2750E+01 C =    0.6451E+00 U   = 0.5537E+00
        AL= 0.1698E+01 GAMMA= 0.3439E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.107E+00  0.124E+01 -0.376E-02
    2   0.819E-01 -0.818E+00 -0.654E-04  0.112E-01  0.269E-02
    3   0.247E-02 -0.555E-01 -0.636E-07  0.149E-04  0.522E-05
    4   0.659E-04 -0.268E-02 -0.221E-10  0.144E-07  0.645E-08
    5   0.202E-05 -0.986E-04 -0.769E-14  0.148E-10  0.718E-11
    6   0.644E-07 -0.335E-05 -0.221E-16  0.156E-13  0.774E-14
    7   0.194E-08 -0.118E-06 -0.529E-19  0.154E-16  0.813E-17
    8   0.509E-10 -0.451E-08 -0.431E-22  0.130E-19  0.777E-20
    9   0.134E-11 -0.164E-09 -0.153E-25  0.108E-22  0.707E-23
   10   0.387E-13 -0.533E-11 -0.645E-29  0.970E-26  0.651E-26
   11   0.115E-14 -0.167E-12  0.692E-33  0.888E-29  0.599E-29
   12   0.353E-16 -0.510E-14  0.000E+00  0.832E-32  0.555E-32
   13   0.108E-17 -0.155E-15  0.000E+00  0.781E-35  0.515E-35
   14   0.332E-19 -0.471E-17  0.000E+00  0.000E+00  0.000E+00
   15   0.102E-20 -0.144E-18  0.000E+00  0.000E+00  0.000E+00
   16   0.309E-22 -0.443E-20  0.000E+00  0.000E+00  0.000E+00
   17   0.943E-24 -0.136E-21  0.000E+00  0.000E+00  0.000E+00
   18   0.290E-25 -0.412E-23  0.000E+00  0.000E+00  0.000E+00
   19   0.884E-27 -0.126E-24  0.000E+00  0.000E+00  0.000E+00
   20   0.269E-28 -0.387E-26  0.000E+00  0.000E+00  0.000E+00
   21   0.822E-30 -0.118E-27  0.000E+00  0.000E+00  0.000E+00
   22   0.251E-31 -0.362E-29  0.000E+00  0.000E+00  0.000E+00
   23   0.767E-33 -0.111E-30  0.000E+00  0.000E+00  0.000E+00
   24   0.235E-34 -0.338E-32  0.000E+00  0.000E+00  0.000E+00
   25   0.000E+00 -0.103E-33  0.000E+00  0.000E+00  0.000E+00
   26   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   27   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   28   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   29   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   30   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   31   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   32   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   33   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   34   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   35   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   36   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   37   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   38   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   39   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   40   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
