                      RAYLEIGH WAVE      MODE #  0
        T = 0.6000E+01 C =    0.1628E+01 U   = 0.8927E+00
        AR= 0.2645E-01 GAMMA= 0.8802E-03 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1  -0.329E+01  0.000E+00  0.100E+01  0.000E+00 -0.122E+01  0.899E-01  0.331E+01 -0.155E+00
    2  -0.923E+00  0.239E+01 -0.240E+00  0.434E+00 -0.618E-01  0.619E-01  0.265E+00  0.626E-01
    3  -0.249E+00  0.743E+00 -0.374E+00  0.221E+01 -0.297E-01  0.345E-01 -0.104E-01  0.537E-02
    4  -0.403E-01 -0.788E+00 -0.307E+00  0.302E+01 -0.164E-01  0.126E-01  0.125E-01  0.801E-02
    5   0.326E-01 -0.143E+01 -0.224E+00  0.296E+01 -0.101E-01  0.438E-02  0.234E-01  0.113E-01
    6   0.511E-01 -0.141E+01 -0.150E+00  0.252E+01 -0.824E-02  0.194E-02  0.190E-01  0.957E-02
    7   0.410E-01 -0.120E+01 -0.890E-01  0.200E+01 -0.506E-02  0.880E-03  0.101E-01  0.563E-02
    8   0.233E-01 -0.992E+00 -0.482E-01  0.148E+01 -0.146E-02  0.229E-03  0.370E-02  0.229E-02
    9   0.133E-01 -0.765E+00 -0.272E-01  0.103E+01 -0.223E-03  0.463E-04  0.133E-02  0.864E-03
   10   0.865E-02 -0.541E+00 -0.164E-01  0.683E+00 -0.328E-04  0.114E-04  0.542E-03  0.356E-03
   11   0.572E-02 -0.363E+00 -0.101E-01  0.436E+00  0.283E-05  0.269E-05  0.222E-03  0.145E-03
   12   0.382E-02 -0.233E+00 -0.624E-02  0.272E+00  0.120E-05  0.733E-06  0.913E-04  0.587E-04
   13   0.248E-02 -0.146E+00 -0.382E-02  0.168E+00  0.381E-06  0.201E-06  0.362E-04  0.230E-04
   14   0.158E-02 -0.905E-01 -0.231E-02  0.102E+00  0.280E-07  0.573E-07  0.140E-04  0.877E-05
   15   0.983E-03 -0.554E-01 -0.139E-02  0.620E-01 -0.887E-07  0.177E-07  0.528E-05  0.327E-05
   16   0.597E-03 -0.339E-01 -0.825E-03  0.373E-01 -0.129E-08  0.467E-08  0.192E-05  0.119E-05
   17   0.362E-03 -0.204E-01 -0.489E-03  0.222E-01  0.650E-08  0.128E-08  0.689E-06  0.430E-06
   18   0.219E-03 -0.122E-01 -0.289E-03  0.131E-01 -0.174E-08  0.423E-09  0.247E-06  0.154E-06
   19   0.130E-03 -0.723E-02 -0.169E-03  0.776E-02 -0.637E-09  0.123E-09  0.863E-07  0.541E-07
   20   0.770E-04 -0.427E-02 -0.986E-04  0.456E-02 -0.174E-09  0.354E-10  0.298E-07  0.187E-07
   21   0.453E-04 -0.251E-02 -0.573E-04  0.267E-02 -0.487E-10  0.101E-10  0.102E-07  0.643E-08
   22   0.267E-04 -0.147E-02 -0.331E-04  0.156E-02 -0.358E-10  0.304E-11  0.350E-08  0.219E-08
   23   0.157E-04 -0.849E-03 -0.190E-04  0.914E-03 -0.384E-10  0.111E-11  0.119E-08  0.745E-09
   24   0.916E-05 -0.488E-03 -0.107E-04  0.541E-03 -0.393E-10  0.619E-12  0.400E-09  0.252E-09
   25   0.522E-05 -0.282E-03 -0.574E-05  0.325E-03 -0.399E-10  0.724E-12  0.133E-09  0.849E-10
   26   0.252E-05 -0.176E-03 -0.287E-05  0.196E-03 -0.864E-11  0.139E-12  0.364E-10  0.240E-10
   27   0.125E-05 -0.109E-03 -0.151E-05  0.114E-03  0.327E-16  0.753E-14  0.100E-10  0.675E-11
   28   0.714E-06 -0.620E-04 -0.857E-06  0.651E-04  0.327E-16  0.215E-14  0.327E-11  0.220E-11
   29   0.408E-06 -0.353E-04 -0.486E-06  0.370E-04  0.327E-16  0.611E-15  0.106E-11  0.712E-12
   30   0.232E-06 -0.201E-04 -0.275E-06  0.210E-04  0.327E-16  0.174E-15  0.342E-12  0.230E-12
   31   0.132E-06 -0.114E-04 -0.155E-06  0.119E-04  0.327E-16  0.494E-16  0.110E-12  0.739E-13
   32   0.748E-07 -0.645E-05 -0.877E-07  0.670E-05  0.327E-16  0.140E-16  0.352E-13  0.237E-13
   33   0.424E-07 -0.365E-05 -0.494E-07  0.378E-05  0.327E-16  0.386E-17  0.112E-13  0.756E-14
   34   0.240E-07 -0.206E-05 -0.279E-07  0.213E-05  0.207E-16  0.104E-17  0.358E-14  0.241E-14
   35   0.136E-07 -0.116E-05 -0.157E-07  0.120E-05  0.664E-17  0.293E-18  0.114E-14  0.766E-15
   36   0.766E-08 -0.652E-06 -0.883E-08  0.671E-06  0.197E-17  0.828E-19  0.362E-15  0.243E-15
   37   0.432E-08 -0.366E-06 -0.497E-08  0.376E-06  0.684E-18  0.230E-19  0.115E-15  0.768E-16
   38   0.244E-08 -0.206E-06 -0.279E-08  0.211E-06  0.175E-18  0.660E-20  0.362E-16  0.243E-16
   39   0.137E-08 -0.115E-06 -0.156E-08  0.118E-06  0.466E-19  0.188E-20  0.114E-16  0.765E-17
   40   0.771E-09 -0.645E-07 -0.876E-09  0.661E-07  0.000E+00  0.579E-21  0.360E-17  0.241E-17
   41   0.432E-09 -0.362E-07 -0.490E-09  0.370E-07  0.000E+00  0.231E-21  0.164E-17  0.110E-17
