                   LOVE WAVE        MODE #  0
        T = 0.9750E+01 C =    0.1910E+01 U   = 0.7316E+00
        AL= 0.1897E+00 GAMMA= 0.7340E-03 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.188E+01  0.228E+01 -0.517E+00
    2   0.515E+00 -0.487E+00 -0.680E+00  0.952E+00  0.215E-01
    3   0.331E+00 -0.713E+00 -0.301E+00  0.522E+00  0.927E-01
    4   0.223E+00 -0.762E+00 -0.970E-01  0.271E+00  0.774E-01
    5   0.163E+00 -0.692E+00 -0.543E-01  0.161E+00  0.549E-01
    6   0.118E+00 -0.605E+00 -0.457E-01  0.982E-01  0.373E-01
    7   0.805E-01 -0.535E+00 -0.313E-01  0.551E-01  0.241E-01
    8   0.523E-01 -0.470E+00 -0.117E-01  0.260E-01  0.133E-01
    9   0.356E-01 -0.390E+00 -0.240E-02  0.127E-01  0.719E-02
   10   0.258E-01 -0.304E+00 -0.422E-03  0.684E-02  0.399E-02
   11   0.191E-01 -0.230E+00  0.760E-04  0.377E-02  0.221E-02
   12   0.143E-01 -0.171E+00  0.391E-04  0.212E-02  0.123E-02
   13   0.107E-01 -0.127E+00  0.142E-04  0.119E-02  0.680E-03
   14   0.803E-02 -0.950E-01 -0.944E-06  0.669E-03  0.378E-03
   15   0.601E-02 -0.711E-01 -0.843E-05  0.376E-03  0.210E-03
   16   0.448E-02 -0.535E-01 -0.751E-06  0.210E-03  0.118E-03
   17   0.335E-02 -0.400E-01  0.458E-06  0.117E-03  0.661E-04
   18   0.251E-02 -0.299E-01 -0.126E-05  0.657E-04  0.371E-04
   19   0.187E-02 -0.225E-01 -0.891E-06  0.367E-04  0.208E-04
   20   0.139E-02 -0.169E-01 -0.641E-06  0.205E-04  0.116E-04
   21   0.104E-02 -0.127E-01 -0.531E-06  0.114E-04  0.650E-05
   22   0.768E-03 -0.958E-02 -0.513E-06  0.637E-05  0.363E-05
   23   0.565E-03 -0.727E-02 -0.520E-06  0.355E-05  0.203E-05
   24   0.411E-03 -0.558E-02 -0.523E-06  0.198E-05  0.114E-05
   25   0.292E-03 -0.436E-02 -0.528E-06  0.110E-05  0.648E-06
   26   0.197E-03 -0.351E-02 -0.176E-06  0.543E-06  0.332E-06
   27   0.138E-03 -0.274E-02  0.541E-10  0.273E-06  0.172E-06
   28   0.102E-03 -0.202E-02  0.541E-10  0.148E-06  0.933E-07
   29   0.750E-04 -0.149E-02  0.541E-10  0.807E-07  0.508E-07
   30   0.553E-04 -0.110E-02  0.541E-10  0.439E-07  0.276E-07
   31   0.408E-04 -0.810E-03  0.541E-10  0.239E-07  0.150E-07
   32   0.301E-04 -0.598E-03  0.541E-10  0.130E-07  0.817E-08
   33   0.222E-04 -0.440E-03  0.541E-10  0.707E-08  0.444E-08
   34   0.164E-04 -0.324E-03  0.438E-10  0.385E-08  0.242E-08
   35   0.121E-04 -0.239E-03  0.235E-10  0.210E-08  0.132E-08
   36   0.895E-05 -0.176E-03  0.119E-10  0.114E-08  0.716E-09
   37   0.662E-05 -0.130E-03  0.640E-11  0.623E-09  0.390E-09
   38   0.489E-05 -0.954E-04  0.266E-11  0.339E-09  0.212E-09
   39   0.361E-05 -0.703E-04  0.103E-11  0.185E-09  0.115E-09
   40   0.267E-05 -0.518E-04  0.000E+00  0.101E-09  0.629E-10
   41   0.197E-05 -0.383E-04  0.000E+00  0.121E-09  0.752E-10
