                   LOVE WAVE        MODE #  0
        T = 0.3000E+01 C =    0.6553E+00 U   = 0.5468E+00
        AL= 0.1681E+01 GAMMA= 0.3192E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.131E+00  0.129E+01 -0.511E-02
    2   0.906E-01 -0.813E+00 -0.149E-03  0.153E-01  0.365E-02
    3   0.372E-02 -0.753E-01 -0.280E-06  0.378E-04  0.132E-04
    4   0.138E-03 -0.505E-02 -0.190E-09  0.700E-07  0.314E-07
    5   0.590E-05 -0.260E-03 -0.130E-12  0.141E-09  0.684E-10
    6   0.264E-06 -0.124E-04 -0.734E-15  0.292E-12  0.145E-12
    7   0.111E-07 -0.613E-06 -0.346E-17  0.566E-15  0.299E-15
    8   0.410E-09 -0.328E-07 -0.557E-20  0.943E-18  0.562E-18
    9   0.152E-10 -0.167E-08 -0.393E-23  0.155E-20  0.101E-20
   10   0.618E-12 -0.767E-10 -0.327E-26  0.275E-23  0.185E-23
   11   0.259E-13 -0.340E-11  0.699E-30  0.500E-26  0.337E-26
   12   0.112E-14 -0.145E-12  0.160E-32  0.928E-29  0.619E-29
   13   0.482E-16 -0.623E-14  0.326E-35  0.173E-31  0.114E-31
   14   0.208E-17 -0.267E-15  0.000E+00  0.322E-34  0.210E-34
   15   0.900E-19 -0.115E-16  0.000E+00  0.000E+00  0.000E+00
   16   0.385E-20 -0.497E-18  0.000E+00  0.000E+00  0.000E+00
   17   0.165E-21 -0.214E-19  0.000E+00  0.000E+00  0.000E+00
   18   0.716E-23 -0.918E-21  0.000E+00  0.000E+00  0.000E+00
   19   0.307E-24 -0.396E-22  0.000E+00  0.000E+00  0.000E+00
   20   0.132E-25 -0.171E-23  0.000E+00  0.000E+00  0.000E+00
   21   0.567E-27 -0.737E-25  0.000E+00  0.000E+00  0.000E+00
   22   0.244E-28 -0.317E-26  0.000E+00  0.000E+00  0.000E+00
   23   0.105E-29 -0.137E-27  0.000E+00  0.000E+00  0.000E+00
   24   0.452E-31 -0.587E-29  0.000E+00  0.000E+00  0.000E+00
   25   0.195E-32 -0.253E-30  0.000E+00  0.000E+00  0.000E+00
   26   0.737E-34 -0.122E-31  0.000E+00  0.000E+00  0.000E+00
   27   0.280E-35 -0.578E-33  0.000E+00  0.000E+00  0.000E+00
   28   0.000E+00 -0.245E-34  0.000E+00  0.000E+00  0.000E+00
   29   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   30   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   31   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   32   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   33   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   34   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   35   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   36   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   37   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   38   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   39   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   40   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
