                   LOVE WAVE        MODE #  0
        T = 0.5250E+01 C =    0.8176E+00 U   = 0.4783E+00
        AL= 0.1402E+01 GAMMA= 0.2085E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.566E+00  0.203E+01 -0.485E-01
    2   0.188E+00 -0.749E+00 -0.162E-01  0.145E+00  0.316E-01
    3   0.372E-01 -0.344E+00 -0.822E-03  0.834E-02  0.280E-02
    4   0.732E-02 -0.121E+00 -0.166E-04  0.426E-03  0.186E-03
    5   0.171E-02 -0.338E-01 -0.395E-06  0.253E-04  0.120E-04
    6   0.416E-03 -0.883E-02 -0.644E-07  0.157E-05  0.761E-06
    7   0.954E-04 -0.241E-02 -0.838E-08  0.908E-07  0.472E-07
    8   0.193E-04 -0.709E-03 -0.402E-09  0.455E-08  0.268E-08
    9   0.397E-05 -0.199E-03 -0.883E-11  0.229E-09  0.148E-09
   10   0.900E-06 -0.509E-04 -0.221E-12  0.126E-10  0.836E-11
   11   0.210E-06 -0.125E-04  0.161E-14  0.710E-12  0.475E-12
   12   0.506E-07 -0.299E-05  0.113E-15  0.411E-13  0.271E-13
   13   0.122E-07 -0.715E-06  0.704E-17  0.238E-14  0.155E-14
   14   0.294E-08 -0.171E-06  0.297E-18  0.138E-15  0.891E-16
   15   0.708E-09 -0.409E-07 -0.404E-19  0.799E-17  0.511E-17
   16   0.169E-09 -0.989E-08 -0.459E-21  0.458E-18  0.293E-18
   17   0.404E-10 -0.238E-08  0.945E-22  0.263E-19  0.170E-19
   18   0.976E-11 -0.568E-09 -0.226E-23  0.152E-20  0.983E-21
   19   0.234E-11 -0.137E-09 -0.153E-24  0.875E-22  0.566E-22
   20   0.560E-12 -0.329E-10 -0.677E-26  0.503E-23  0.326E-23
   21   0.134E-12 -0.791E-11 -0.112E-27  0.289E-24  0.187E-24
   22   0.322E-13 -0.190E-11  0.393E-29  0.167E-25  0.108E-25
   23   0.772E-14 -0.455E-12 -0.798E-32  0.961E-27  0.621E-27
   24   0.185E-14 -0.109E-12 -0.235E-30  0.553E-28  0.357E-28
   25   0.442E-15 -0.264E-13 -0.261E-30  0.319E-29  0.206E-29
   26   0.933E-16 -0.709E-14 -0.130E-31  0.165E-30  0.110E-30
   27   0.199E-16 -0.187E-14  0.000E+00  0.852E-32  0.585E-32
   28   0.473E-17 -0.444E-15  0.000E+00  0.481E-33  0.330E-33
   29   0.112E-17 -0.105E-15  0.000E+00  0.271E-34  0.186E-34
   30   0.267E-18 -0.251E-16  0.000E+00  0.153E-35  0.105E-35
   31   0.634E-19 -0.595E-17  0.000E+00  0.000E+00  0.000E+00
   32   0.151E-19 -0.141E-17  0.000E+00  0.000E+00  0.000E+00
   33   0.358E-20 -0.336E-18  0.000E+00  0.000E+00  0.000E+00
   34   0.851E-21 -0.798E-19  0.000E+00  0.000E+00  0.000E+00
   35   0.203E-21 -0.189E-19  0.000E+00  0.000E+00  0.000E+00
   36   0.482E-22 -0.449E-20  0.000E+00  0.000E+00  0.000E+00
   37   0.115E-22 -0.107E-20  0.000E+00  0.000E+00  0.000E+00
   38   0.273E-23 -0.253E-21  0.000E+00  0.000E+00  0.000E+00
   39   0.651E-24 -0.600E-22  0.000E+00  0.000E+00  0.000E+00
   40   0.155E-24 -0.142E-22  0.000E+00  0.000E+00  0.000E+00
   41   0.368E-25 -0.338E-23  0.000E+00  0.000E+00  0.000E+00
