                   LOVE WAVE        MODE #  0
        T = 0.4000E+01 C =    0.7095E+00 U   = 0.5165E+00
        AL= 0.1590E+01 GAMMA= 0.2534E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.264E+00  0.154E+01 -0.151E-01
    2   0.129E+00 -0.788E+00 -0.182E-02  0.457E-01  0.106E-01
    3   0.128E-01 -0.179E+00 -0.222E-04  0.661E-03  0.228E-03
    4   0.121E-02 -0.306E-01 -0.102E-06  0.796E-05  0.354E-05
    5   0.135E-03 -0.411E-02 -0.492E-09  0.109E-06  0.522E-07
    6   0.158E-04 -0.510E-03 -0.188E-10  0.153E-08  0.754E-09
    7   0.174E-05 -0.662E-04 -0.599E-12  0.203E-10  0.106E-10
    8   0.168E-06 -0.930E-05 -0.665E-14  0.232E-12  0.138E-12
    9   0.164E-07 -0.125E-05 -0.328E-16  0.264E-14  0.172E-14
   10   0.176E-08 -0.151E-06 -0.190E-18  0.327E-16  0.219E-16
   11   0.195E-09 -0.177E-07  0.289E-21  0.416E-18  0.280E-18
   12   0.223E-10 -0.201E-08  0.463E-23  0.541E-20  0.360E-20
   13   0.255E-11 -0.227E-09  0.660E-25  0.706E-22  0.464E-22
   14   0.291E-12 -0.258E-10  0.716E-27  0.921E-24  0.599E-24
   15   0.333E-13 -0.292E-11 -0.197E-28  0.120E-25  0.773E-26
   16   0.376E-14 -0.336E-12 -0.585E-31  0.155E-27  0.100E-27
   17   0.428E-15 -0.383E-13  0.241E-32  0.201E-29  0.130E-29
   18   0.490E-16 -0.434E-14 -0.118E-34  0.261E-31  0.170E-31
   19   0.557E-17 -0.495E-15  0.000E+00  0.338E-33  0.220E-33
   20   0.633E-18 -0.566E-16  0.000E+00  0.438E-35  0.285E-35
   21   0.719E-19 -0.646E-17  0.000E+00  0.000E+00  0.000E+00
   22   0.818E-20 -0.735E-18  0.000E+00  0.000E+00  0.000E+00
   23   0.932E-21 -0.837E-19  0.000E+00  0.000E+00  0.000E+00
   24   0.106E-21 -0.953E-20  0.000E+00  0.000E+00  0.000E+00
   25   0.121E-22 -0.109E-20  0.000E+00  0.000E+00  0.000E+00
   26   0.121E-23 -0.138E-21  0.000E+00  0.000E+00  0.000E+00
   27   0.122E-24 -0.174E-22  0.000E+00  0.000E+00  0.000E+00
   28   0.137E-25 -0.196E-23  0.000E+00  0.000E+00  0.000E+00
   29   0.154E-26 -0.220E-24  0.000E+00  0.000E+00  0.000E+00
   30   0.174E-27 -0.248E-25  0.000E+00  0.000E+00  0.000E+00
   31   0.196E-28 -0.279E-26  0.000E+00  0.000E+00  0.000E+00
   32   0.220E-29 -0.314E-27  0.000E+00  0.000E+00  0.000E+00
   33   0.248E-30 -0.354E-28  0.000E+00  0.000E+00  0.000E+00
   34   0.279E-31 -0.398E-29  0.000E+00  0.000E+00  0.000E+00
   35   0.315E-32 -0.448E-30  0.000E+00  0.000E+00  0.000E+00
   36   0.355E-33 -0.503E-31  0.000E+00  0.000E+00  0.000E+00
   37   0.401E-34 -0.566E-32  0.000E+00  0.000E+00  0.000E+00
   38   0.452E-35 -0.636E-33  0.000E+00  0.000E+00  0.000E+00
   39   0.000E+00 -0.715E-34  0.000E+00  0.000E+00  0.000E+00
   40   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
