                   LOVE WAVE        MODE #  0
        T = 0.6500E+01 C =    0.9978E+00 U   = 0.4548E+00
        AL= 0.1094E+01 GAMMA= 0.1771E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.110E+01  0.270E+01 -0.137E+00
    2   0.262E+00 -0.695E+00 -0.859E-01  0.383E+00  0.749E-01
    3   0.834E-01 -0.517E+00 -0.110E-01  0.564E-01  0.180E-01
    4   0.272E-01 -0.293E+00 -0.614E-03  0.764E-02  0.322E-02
    5   0.104E-01 -0.134E+00 -0.510E-04  0.122E-02  0.560E-03
    6   0.413E-02 -0.578E-01 -0.201E-04  0.202E-03  0.957E-04
    7   0.153E-02 -0.262E-01 -0.610E-05  0.314E-04  0.160E-04
    8   0.506E-03 -0.125E-01 -0.749E-06  0.419E-05  0.243E-05
    9   0.172E-03 -0.572E-02 -0.443E-07  0.564E-06  0.360E-06
   10   0.643E-04 -0.239E-02 -0.282E-08  0.833E-07  0.547E-07
   11   0.247E-04 -0.961E-03  0.646E-10  0.127E-07  0.836E-08
   12   0.975E-05 -0.376E-03  0.119E-10  0.197E-08  0.129E-08
   13   0.385E-05 -0.147E-03  0.187E-11  0.306E-09  0.198E-09
   14   0.152E-05 -0.578E-04  0.157E-12  0.478E-10  0.305E-10
   15   0.600E-06 -0.227E-04 -0.742E-13  0.745E-11  0.470E-11
   16   0.235E-06 -0.900E-05 -0.157E-14  0.115E-11  0.727E-12
   17   0.924E-07 -0.355E-05  0.118E-14  0.177E-12  0.113E-12
   18   0.365E-07 -0.139E-05 -0.903E-16  0.276E-13  0.176E-13
   19   0.143E-07 -0.548E-06 -0.157E-16  0.427E-14  0.272E-14
   20   0.563E-08 -0.216E-06 -0.178E-17  0.660E-15  0.422E-15
   21   0.221E-08 -0.853E-07 -0.808E-19  0.102E-15  0.652E-16
   22   0.871E-09 -0.336E-07 -0.133E-20  0.158E-16  0.101E-16
   23   0.343E-09 -0.132E-07 -0.869E-20  0.245E-17  0.156E-17
   24   0.135E-09 -0.522E-08 -0.983E-20  0.379E-18  0.242E-18
   25   0.520E-10 -0.209E-08 -0.102E-19  0.588E-19  0.376E-19
   26   0.180E-10 -0.916E-09 -0.125E-20  0.815E-20  0.539E-20
   27   0.637E-11 -0.392E-09  0.155E-28  0.113E-20  0.770E-21
   28   0.248E-11 -0.153E-09  0.155E-28  0.172E-21  0.117E-21
   29   0.967E-12 -0.596E-10  0.155E-28  0.261E-22  0.177E-22
   30   0.377E-12 -0.232E-10  0.155E-28  0.396E-23  0.269E-23
   31   0.147E-12 -0.904E-11  0.155E-28  0.601E-24  0.409E-24
   32   0.572E-13 -0.352E-11  0.155E-28  0.913E-25  0.621E-25
   33   0.223E-13 -0.137E-11  0.155E-28  0.139E-25  0.943E-26
   34   0.870E-14 -0.535E-12  0.619E-29  0.210E-26  0.143E-26
   35   0.339E-14 -0.208E-12  0.964E-30  0.320E-27  0.218E-27
   36   0.132E-14 -0.809E-13  0.134E-30  0.487E-28  0.331E-28
   37   0.517E-15 -0.315E-13  0.239E-31  0.740E-29  0.502E-29
   38   0.202E-15 -0.122E-13  0.299E-32  0.113E-29  0.763E-30
   39   0.788E-16 -0.477E-14  0.444E-33  0.171E-30  0.116E-30
   40   0.308E-16 -0.185E-14  0.000E+00  0.261E-31  0.176E-31
   41   0.120E-16 -0.723E-15  0.000E+00  0.467E-32  0.316E-32
