                   LOVE WAVE        MODE #  0
        T = 0.8500E+01 C =    0.1510E+01 U   = 0.5470E+00
        AL= 0.4389E+00 GAMMA= 0.1126E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.201E+01  0.308E+01 -0.426E+00
    2   0.415E+00 -0.573E+00 -0.469E+00  0.947E+00  0.107E+00
    3   0.221E+00 -0.701E+00 -0.149E+00  0.367E+00  0.929E-01
    4   0.123E+00 -0.636E+00 -0.282E-01  0.135E+00  0.482E-01
    5   0.773E-01 -0.482E+00 -0.103E-01  0.581E-01  0.233E-01
    6   0.485E-01 -0.352E+00 -0.766E-02  0.257E-01  0.109E-01
    7   0.285E-01 -0.265E+00 -0.448E-02  0.105E-01  0.498E-02
    8   0.155E-01 -0.202E+00 -0.130E-02  0.365E-02  0.200E-02
    9   0.884E-02 -0.146E+00 -0.199E-03  0.129E-02  0.782E-03
   10   0.541E-02 -0.977E-01 -0.285E-04  0.505E-03  0.315E-03
   11   0.341E-02 -0.634E-01  0.276E-05  0.203E-03  0.127E-03
   12   0.218E-02 -0.403E-01  0.117E-05  0.831E-04  0.514E-04
   13   0.140E-02 -0.257E-01  0.378E-06  0.341E-04  0.209E-04
   14   0.897E-03 -0.163E-01  0.246E-07  0.140E-04  0.848E-05
   15   0.574E-03 -0.104E-01 -0.102E-06  0.577E-05  0.345E-05
   16   0.365E-03 -0.672E-02 -0.201E-08  0.235E-05  0.141E-05
   17   0.234E-03 -0.430E-02  0.870E-08  0.956E-06  0.577E-06
   18   0.150E-03 -0.274E-02 -0.341E-08  0.392E-06  0.237E-06
   19   0.955E-04 -0.176E-02 -0.152E-08  0.160E-06  0.967E-07
   20   0.609E-04 -0.113E-02 -0.592E-09  0.652E-07  0.395E-07
   21   0.388E-04 -0.721E-03 -0.293E-09  0.266E-07  0.161E-07
   22   0.247E-04 -0.462E-03 -0.257E-09  0.109E-07  0.658E-08
   23   0.157E-04 -0.297E-03 -0.266E-09  0.443E-08  0.269E-08
   24   0.987E-05 -0.193E-03 -0.270E-09  0.180E-08  0.110E-08
   25   0.604E-05 -0.128E-03 -0.273E-09  0.738E-09  0.453E-09
   26   0.344E-05 -0.898E-04 -0.734E-10  0.267E-09  0.170E-09
   27   0.202E-05 -0.608E-04  0.164E-14  0.975E-10  0.640E-10
   28   0.128E-05 -0.384E-04  0.164E-14  0.389E-10  0.255E-10
   29   0.807E-06 -0.242E-04  0.164E-14  0.155E-10  0.102E-10
   30   0.510E-06 -0.153E-04  0.164E-14  0.618E-11  0.406E-11
   31   0.322E-06 -0.967E-05  0.164E-14  0.247E-11  0.162E-11
   32   0.203E-06 -0.610E-05  0.164E-14  0.983E-12  0.646E-12
   33   0.128E-06 -0.385E-05  0.164E-14  0.392E-12  0.257E-12
   34   0.812E-07 -0.243E-05  0.117E-14  0.156E-12  0.103E-12
   35   0.514E-07 -0.153E-05  0.467E-15  0.625E-13  0.410E-13
   36   0.325E-07 -0.966E-06  0.176E-15  0.250E-13  0.163E-13
   37   0.206E-07 -0.609E-06  0.742E-16  0.997E-14  0.652E-14
   38   0.130E-07 -0.384E-06  0.236E-16  0.398E-14  0.260E-14
   39   0.823E-08 -0.242E-06  0.744E-17  0.159E-14  0.104E-14
   40   0.520E-08 -0.153E-06  0.000E+00  0.636E-15  0.415E-15
   41   0.329E-08 -0.966E-07  0.000E+00  0.423E-15  0.275E-15
