                      RAYLEIGH WAVE      MODE #  0
        T = 0.4250E+01 C =    0.1182E+01 U   = 0.4278E+00
        AR= 0.7544E+00 GAMMA= 0.2827E-02 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1  -0.340E+00  0.000E+00  0.100E+01  0.000E+00 -0.198E+01  0.608E-01  0.394E+01 -0.204E+00
    2  -0.178E+00  0.128E+01  0.220E+00 -0.149E+01 -0.105E+00  0.186E-02  0.576E+00  0.122E+00
    3  -0.494E-01  0.803E+00  0.577E-01 -0.913E+00 -0.919E-02  0.204E-03  0.610E-01  0.203E-01
    4  -0.125E-01  0.381E+00  0.155E-01 -0.409E+00 -0.339E-03  0.813E-05  0.538E-02  0.233E-02
    5  -0.400E-02  0.147E+00  0.498E-02 -0.156E+00 -0.176E-04  0.584E-06  0.605E-03  0.284E-03
    6  -0.138E-02  0.530E-01  0.165E-02 -0.574E-01 -0.507E-05  0.121E-06  0.726E-04  0.351E-04
    7  -0.436E-03  0.193E-01  0.497E-03 -0.215E-01 -0.107E-05  0.283E-07  0.769E-05  0.400E-05
    8  -0.113E-03  0.732E-02  0.129E-03 -0.809E-02 -0.838E-07  0.207E-08  0.637E-06  0.377E-06
    9  -0.299E-04  0.269E-02  0.350E-04 -0.289E-02 -0.317E-08  0.895E-10  0.534E-07  0.345E-07
   10  -0.903E-05  0.921E-03  0.106E-04 -0.978E-03 -0.139E-09  0.587E-11  0.522E-08  0.347E-08
   11  -0.285E-05  0.307E-03  0.335E-05 -0.322E-03  0.196E-11  0.361E-12  0.534E-09  0.356E-09
   12  -0.934E-06  0.996E-04  0.109E-05 -0.104E-03  0.249E-12  0.290E-13  0.567E-10  0.374E-10
   13  -0.305E-06  0.321E-04  0.351E-06 -0.334E-04  0.273E-13  0.233E-14  0.597E-11  0.389E-11
   14  -0.990E-07  0.103E-04  0.113E-06 -0.107E-04  0.180E-14  0.194E-15  0.623E-12  0.402E-12
   15  -0.320E-07  0.330E-05  0.362E-07 -0.342E-05 -0.487E-15  0.192E-16  0.646E-13  0.412E-13
   16  -0.101E-07  0.106E-05  0.114E-07 -0.110E-05 -0.825E-17  0.148E-17  0.652E-14  0.417E-14
   17  -0.323E-08  0.339E-06  0.362E-08 -0.348E-06  0.341E-17  0.114E-18  0.658E-15  0.423E-15
   18  -0.103E-08  0.107E-06  0.115E-08 -0.110E-06 -0.153E-18  0.116E-19  0.666E-16  0.430E-16
   19  -0.327E-09  0.339E-07  0.362E-09 -0.348E-07 -0.175E-19  0.102E-20  0.664E-17  0.428E-17
   20  -0.103E-09  0.107E-07  0.114E-09 -0.110E-07 -0.130E-20  0.867E-22  0.658E-18  0.425E-18
   21  -0.323E-10  0.338E-08  0.356E-10 -0.346E-08 -0.360E-22  0.717E-23  0.650E-19  0.419E-19
   22  -0.102E-10  0.106E-08  0.112E-10 -0.108E-08  0.175E-23  0.598E-24  0.640E-20  0.413E-20
   23  -0.319E-11  0.333E-09  0.349E-11 -0.340E-09 -0.443E-24  0.525E-25  0.629E-21  0.406E-21
   24  -0.100E-11  0.104E-09  0.109E-11 -0.107E-09 -0.659E-24  0.629E-26  0.617E-22  0.397E-22
   25  -0.315E-12  0.321E-10  0.329E-12 -0.341E-10 -0.701E-24  0.548E-26  0.602E-23  0.389E-23
   26  -0.829E-13  0.108E-10  0.869E-13 -0.114E-10 -0.526E-25  0.372E-27  0.484E-24  0.323E-24
   27  -0.218E-13  0.361E-11  0.237E-13 -0.369E-11  0.181E-34  0.415E-29  0.390E-25  0.267E-25
   28  -0.674E-14  0.111E-11  0.729E-14 -0.113E-11  0.181E-34  0.352E-30  0.370E-26  0.254E-26
   29  -0.208E-14  0.342E-12  0.224E-14 -0.349E-12  0.181E-34  0.298E-31  0.351E-27  0.240E-27
   30  -0.638E-15  0.105E-12  0.687E-15 -0.107E-12  0.181E-34  0.253E-32  0.331E-28  0.227E-28
   31  -0.196E-15  0.323E-13  0.211E-15 -0.329E-13  0.181E-34  0.214E-33  0.312E-29  0.214E-29
   32  -0.602E-16  0.991E-14  0.645E-16 -0.101E-13  0.181E-34  0.181E-34  0.293E-30  0.201E-30
   33  -0.184E-16  0.303E-14  0.197E-16 -0.308E-14  0.181E-34  0.150E-35  0.274E-31  0.188E-31
   34  -0.564E-17  0.928E-15  0.604E-17 -0.941E-15  0.463E-35  0.000E+00  0.257E-32  0.176E-32
   35  -0.173E-17  0.283E-15  0.185E-17 -0.287E-15  0.000E+00  0.000E+00  0.241E-33  0.165E-33
   36  -0.530E-18  0.865E-16  0.565E-18 -0.875E-16  0.000E+00  0.000E+00  0.225E-34  0.154E-34
   37  -0.162E-18  0.264E-16  0.173E-18 -0.267E-16  0.000E+00  0.000E+00  0.210E-35  0.143E-35
   38  -0.496E-19  0.803E-17  0.527E-19 -0.812E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   39  -0.151E-19  0.244E-17  0.161E-19 -0.247E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   40  -0.462E-20  0.744E-18  0.491E-20 -0.751E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41  -0.141E-20  0.226E-18  0.149E-20 -0.229E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
