                      RAYLEIGH WAVE      MODE #  0
        T = 0.7750E+01 C =    0.2072E+01 U   = 0.1022E+01
        AR= 0.1234E-02 GAMMA= 0.5304E-03 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1  -0.110E+02  0.000E+00  0.100E+01  0.000E+00 -0.151E+01  0.866E-01  0.278E+01 -0.322E+00
    2  -0.436E+01  0.625E+01 -0.142E+01  0.182E+01 -0.241E+00  0.108E+00  0.501E+00  0.622E-01
    3  -0.201E+01  0.465E+01 -0.193E+01  0.646E+01 -0.104E+00  0.989E-01  0.977E-02  0.129E-01
    4  -0.871E+00  0.885E+00 -0.185E+01  0.104E+02 -0.758E-01  0.641E-01 -0.315E-01  0.100E-02
    5  -0.272E+00 -0.259E+01 -0.162E+01  0.128E+02 -0.674E-01  0.391E-01  0.553E-02  0.125E-01
    6   0.427E-01 -0.466E+01 -0.131E+01  0.136E+02 -0.627E-01  0.268E-01  0.362E-01  0.272E-01
    7   0.146E+00 -0.583E+01 -0.994E+00  0.134E+02 -0.487E-01  0.175E-01  0.414E-01  0.301E-01
    8   0.131E+00 -0.652E+01 -0.719E+00  0.124E+02 -0.210E-01  0.740E-02  0.283E-01  0.202E-01
    9   0.118E+00 -0.670E+01 -0.541E+00  0.109E+02 -0.522E-02  0.265E-02  0.187E-01  0.126E-01
   10   0.120E+00 -0.633E+01 -0.424E+00  0.918E+01 -0.111E-02  0.110E-02  0.139E-01  0.898E-02
   11   0.116E+00 -0.560E+01 -0.334E+00  0.753E+01  0.229E-03  0.449E-03  0.101E-01  0.633E-02
   12   0.108E+00 -0.473E+01 -0.263E+00  0.607E+01  0.137E-03  0.203E-03  0.727E-02  0.444E-02
   13   0.949E-01 -0.388E+01 -0.205E+00  0.482E+01  0.506E-04  0.932E-04  0.496E-02  0.298E-02
   14   0.805E-01 -0.313E+01 -0.159E+00  0.379E+01 -0.139E-04  0.440E-04  0.326E-02  0.193E-02
   15   0.662E-01 -0.250E+01 -0.122E+00  0.296E+01 -0.505E-04  0.217E-04  0.208E-02  0.122E-02
   16   0.529E-01 -0.198E+01 -0.930E-01  0.229E+01 -0.449E-05  0.964E-05  0.127E-02  0.748E-03
   17   0.420E-01 -0.154E+01 -0.706E-01  0.176E+01  0.261E-05  0.456E-05  0.770E-03  0.456E-03
   18   0.332E-01 -0.119E+01 -0.534E-01  0.134E+01 -0.957E-05  0.245E-05  0.462E-03  0.275E-03
   19   0.257E-01 -0.909E+00 -0.400E-01  0.102E+01 -0.683E-05  0.120E-05  0.270E-03  0.161E-03
   20   0.198E-01 -0.692E+00 -0.297E-01  0.777E+00 -0.491E-05  0.591E-06  0.156E-03  0.935E-04
   21   0.152E-01 -0.522E+00 -0.220E-01  0.590E+00 -0.404E-05  0.303E-06  0.893E-04  0.536E-04
   22   0.116E-01 -0.391E+00 -0.161E-01  0.448E+00 -0.389E-05  0.174E-06  0.507E-04  0.306E-04
   23   0.876E-02 -0.291E+00 -0.116E-01  0.342E+00 -0.394E-05  0.120E-06  0.286E-04  0.173E-04
   24   0.651E-02 -0.217E+00 -0.824E-02  0.262E+00 -0.397E-05  0.105E-06  0.159E-04  0.978E-05
   25   0.462E-02 -0.165E+00 -0.567E-02  0.201E+00 -0.400E-05  0.121E-06  0.877E-05  0.553E-05
   26   0.288E-02 -0.132E+00 -0.377E-02  0.152E+00 -0.125E-05  0.353E-07  0.395E-05  0.255E-05
   27   0.189E-02 -0.104E+00 -0.263E-02  0.113E+00  0.310E-09  0.430E-08  0.181E-05  0.118E-05
   28   0.140E-02 -0.765E-01 -0.192E-02  0.828E-01  0.310E-09  0.202E-08  0.982E-06  0.642E-06
   29   0.103E-02 -0.563E-01 -0.140E-02  0.606E-01  0.310E-09  0.952E-09  0.530E-06  0.347E-06
   30   0.760E-03 -0.413E-01 -0.102E-02  0.442E-01  0.310E-09  0.447E-09  0.285E-06  0.186E-06
   31   0.558E-03 -0.302E-01 -0.742E-03  0.322E-01  0.310E-09  0.209E-09  0.152E-06  0.997E-07
   32   0.409E-03 -0.221E-01 -0.539E-03  0.234E-01  0.310E-09  0.969E-10  0.812E-07  0.531E-07
   33   0.299E-03 -0.161E-01 -0.391E-03  0.170E-01  0.310E-09  0.442E-10  0.431E-07  0.282E-07
   34   0.219E-03 -0.117E-01 -0.283E-03  0.123E-01  0.249E-09  0.199E-10  0.228E-07  0.149E-07
   35   0.160E-03 -0.850E-02 -0.205E-03  0.890E-02  0.129E-09  0.926E-11  0.121E-07  0.788E-08
   36   0.116E-03 -0.616E-02 -0.149E-03  0.643E-02  0.634E-10  0.433E-11  0.637E-08  0.415E-08
   37   0.847E-04 -0.446E-02 -0.107E-03  0.464E-02  0.331E-10  0.201E-11  0.335E-08  0.218E-08
   38   0.616E-04 -0.322E-02 -0.775E-04  0.335E-02  0.133E-10  0.955E-12  0.176E-08  0.114E-08
   39   0.447E-04 -0.233E-02 -0.559E-04  0.241E-02  0.500E-11  0.455E-12  0.920E-09  0.598E-09
   40   0.324E-04 -0.168E-02 -0.403E-04  0.174E-02  0.000E+00  0.228E-12  0.481E-09  0.312E-09
   41   0.234E-04 -0.121E-02 -0.290E-04  0.125E-02  0.000E+00  0.203E-12  0.520E-09  0.338E-09
