                   LOVE WAVE        MODE #  0
        T = 0.4750E+01 C =    0.7677E+00 U   = 0.4930E+00
        AL= 0.1489E+01 GAMMA= 0.2236E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.422E+00  0.181E+01 -0.309E-01
    2   0.163E+00 -0.766E+00 -0.734E-02  0.932E-01  0.209E-01
    3   0.254E-01 -0.275E+00 -0.227E-03  0.332E-02  0.113E-02
    4   0.386E-02 -0.754E-01 -0.274E-05  0.103E-03  0.453E-04
    5   0.696E-03 -0.163E-01 -0.367E-07  0.366E-05  0.175E-05
    6   0.132E-03 -0.329E-02 -0.365E-08  0.136E-06  0.663E-07
    7   0.234E-04 -0.695E-03 -0.295E-09  0.471E-08  0.246E-08
    8   0.366E-05 -0.158E-03 -0.855E-11  0.141E-09  0.837E-10
    9   0.582E-06 -0.344E-04 -0.112E-12  0.426E-11  0.276E-11
   10   0.102E-06 -0.679E-05 -0.170E-14  0.140E-12  0.931E-13
   11   0.184E-07 -0.129E-05  0.708E-17  0.470E-14  0.316E-14
   12   0.342E-08 -0.239E-06  0.300E-18  0.162E-15  0.108E-15
   13   0.636E-09 -0.440E-07  0.112E-19  0.561E-17  0.368E-17
   14   0.118E-09 -0.813E-08  0.303E-21  0.194E-18  0.126E-18
   15   0.220E-10 -0.150E-08 -0.233E-22  0.672E-20  0.431E-20
   16   0.406E-11 -0.281E-09 -0.171E-24  0.230E-21  0.148E-21
   17   0.751E-12 -0.522E-10  0.197E-25  0.787E-23  0.510E-23
   18   0.140E-12 -0.962E-11 -0.270E-27  0.272E-24  0.176E-24
   19   0.259E-13 -0.179E-11 -0.110E-28  0.933E-26  0.605E-26
   20   0.479E-14 -0.332E-12 -0.294E-30  0.320E-27  0.208E-27
   21   0.886E-15 -0.617E-13 -0.296E-32  0.110E-28  0.713E-29
   22   0.164E-15 -0.115E-13  0.633E-34  0.377E-30  0.245E-30
   23   0.305E-16 -0.212E-14  0.211E-35  0.130E-31  0.841E-32
   24   0.565E-17 -0.393E-15  0.000E+00  0.446E-33  0.289E-33
   25   0.104E-17 -0.732E-16  0.000E+00  0.154E-34  0.993E-35
   26   0.170E-18 -0.152E-16  0.000E+00  0.000E+00  0.000E+00
   27   0.280E-19 -0.310E-17  0.000E+00  0.000E+00  0.000E+00
   28   0.513E-20 -0.569E-18  0.000E+00  0.000E+00  0.000E+00
   29   0.942E-21 -0.104E-18  0.000E+00  0.000E+00  0.000E+00
   30   0.173E-21 -0.191E-19  0.000E+00  0.000E+00  0.000E+00
   31   0.317E-22 -0.351E-20  0.000E+00  0.000E+00  0.000E+00
   32   0.582E-23 -0.645E-21  0.000E+00  0.000E+00  0.000E+00
   33   0.107E-23 -0.118E-21  0.000E+00  0.000E+00  0.000E+00
   34   0.196E-24 -0.217E-22  0.000E+00  0.000E+00  0.000E+00
   35   0.360E-25 -0.397E-23  0.000E+00  0.000E+00  0.000E+00
   36   0.662E-26 -0.728E-24  0.000E+00  0.000E+00  0.000E+00
   37   0.122E-26 -0.133E-24  0.000E+00  0.000E+00  0.000E+00
   38   0.224E-27 -0.244E-25  0.000E+00  0.000E+00  0.000E+00
   39   0.411E-28 -0.448E-26  0.000E+00  0.000E+00  0.000E+00
   40   0.756E-29 -0.820E-27  0.000E+00  0.000E+00  0.000E+00
   41   0.139E-29 -0.151E-27  0.000E+00  0.000E+00  0.000E+00
