                      RAYLEIGH WAVE      MODE #  0
        T = 0.8250E+01 C =    0.2209E+01 U   = 0.1105E+01
        AR= 0.2638E-03 GAMMA= 0.4433E-03 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1  -0.208E+02  0.000E+00  0.100E+01  0.000E+00 -0.145E+01  0.762E-01  0.240E+01 -0.345E+00
    2  -0.897E+01  0.110E+02 -0.302E+01  0.337E+01 -0.292E+00  0.108E+00  0.521E+00  0.446E-01
    3  -0.457E+01  0.948E+01 -0.400E+01  0.115E+02 -0.130E+00  0.110E+00  0.335E-01  0.139E-01
    4  -0.226E+01  0.343E+01 -0.395E+01  0.190E+02 -0.903E-01  0.803E-01 -0.406E-01 -0.583E-03
    5  -0.963E+00 -0.312E+01 -0.355E+01  0.243E+02 -0.819E-01  0.543E-01 -0.141E-01  0.783E-02
    6  -0.218E+00 -0.768E+01 -0.301E+01  0.270E+02 -0.773E-01  0.399E-01  0.215E-01  0.251E-01
    7   0.101E+00 -0.107E+02 -0.239E+01  0.276E+02 -0.622E-01  0.276E-01  0.369E-01  0.325E-01
    8   0.161E+00 -0.129E+02 -0.183E+01  0.265E+02 -0.287E-01  0.129E-01  0.305E-01  0.238E-01
    9   0.199E+00 -0.141E+02 -0.146E+01  0.243E+02 -0.778E-02  0.522E-02  0.237E-01  0.163E-01
   10   0.249E+00 -0.142E+02 -0.120E+01  0.215E+02 -0.178E-02  0.241E-02  0.205E-01  0.131E-01
   11   0.275E+00 -0.133E+02 -0.986E+00  0.185E+02  0.398E-03  0.109E-02  0.170E-01  0.103E-01
   12   0.281E+00 -0.119E+02 -0.812E+00  0.157E+02  0.243E-03  0.545E-03  0.137E-01  0.812E-02
   13   0.267E+00 -0.103E+02 -0.662E+00  0.131E+02  0.746E-04  0.275E-03  0.104E-01  0.609E-02
   14   0.242E+00 -0.872E+01 -0.536E+00  0.108E+02 -0.680E-04  0.142E-03  0.762E-02  0.440E-02
   15   0.211E+00 -0.731E+01 -0.430E+00  0.882E+01 -0.158E-03  0.764E-04  0.539E-02  0.309E-02
   16   0.179E+00 -0.608E+01 -0.343E+00  0.716E+01 -0.325E-04  0.376E-04  0.365E-02  0.209E-02
   17   0.150E+00 -0.498E+01 -0.273E+00  0.577E+01 -0.109E-04  0.198E-04  0.244E-02  0.141E-02
   18   0.125E+00 -0.402E+01 -0.215E+00  0.463E+01 -0.514E-04  0.116E-04  0.162E-02  0.942E-03
   19   0.102E+00 -0.323E+01 -0.168E+00  0.370E+01 -0.413E-04  0.632E-05  0.104E-02  0.610E-03
   20   0.826E-01 -0.257E+01 -0.131E+00  0.296E+01 -0.336E-04  0.349E-05  0.663E-03  0.389E-03
   21   0.666E-01 -0.204E+01 -0.101E+00  0.236E+01 -0.297E-04  0.201E-05  0.418E-03  0.246E-03
   22   0.533E-01 -0.160E+01 -0.772E-01  0.188E+01 -0.289E-04  0.130E-05  0.261E-03  0.155E-03
   23   0.422E-01 -0.125E+01 -0.582E-01  0.151E+01 -0.292E-04  0.983E-06  0.162E-03  0.968E-04
   24   0.327E-01 -0.982E+00 -0.431E-01  0.121E+01 -0.294E-04  0.903E-06  0.989E-04  0.602E-04
   25   0.241E-01 -0.785E+00 -0.311E-01  0.967E+00 -0.296E-04  0.103E-05  0.598E-04  0.375E-04
   26   0.158E-01 -0.658E+00 -0.219E-01  0.764E+00 -0.984E-05  0.325E-06  0.295E-04  0.189E-04
   27   0.109E-01 -0.539E+00 -0.161E-01  0.593E+00  0.559E-08  0.478E-07  0.149E-04  0.960E-05
   28   0.852E-02 -0.417E+00 -0.123E-01  0.456E+00  0.559E-08  0.247E-07  0.889E-05  0.574E-05
   29   0.661E-02 -0.322E+00 -0.941E-02  0.349E+00  0.559E-08  0.127E-07  0.528E-05  0.341E-05
   30   0.511E-02 -0.248E+00 -0.718E-02  0.267E+00  0.559E-08  0.655E-08  0.312E-05  0.202E-05
   31   0.394E-02 -0.190E+00 -0.547E-02  0.204E+00  0.559E-08  0.336E-08  0.184E-05  0.119E-05
   32   0.303E-02 -0.146E+00 -0.416E-02  0.155E+00  0.559E-08  0.171E-08  0.108E-05  0.696E-06
   33   0.232E-02 -0.111E+00 -0.317E-02  0.118E+00  0.559E-08  0.854E-09  0.629E-06  0.406E-06
   34   0.178E-02 -0.850E-01 -0.240E-02  0.897E-01  0.464E-08  0.424E-09  0.366E-06  0.237E-06
   35   0.136E-02 -0.647E-01 -0.182E-02  0.680E-01  0.263E-08  0.216E-09  0.213E-06  0.137E-06
   36   0.104E-02 -0.492E-01 -0.138E-02  0.515E-01  0.140E-08  0.111E-09  0.124E-06  0.796E-07
   37   0.797E-03 -0.373E-01 -0.105E-02  0.390E-01  0.785E-09  0.566E-10  0.714E-07  0.460E-07
   38   0.607E-03 -0.283E-01 -0.793E-03  0.294E-01  0.341E-09  0.296E-10  0.412E-07  0.265E-07
   39   0.462E-03 -0.214E-01 -0.599E-03  0.222E-01  0.136E-09  0.155E-10  0.237E-07  0.152E-07
   40   0.351E-03 -0.162E-01 -0.452E-03  0.168E-01  0.000E+00  0.846E-11  0.136E-07  0.874E-08
   41   0.266E-03 -0.122E-01 -0.341E-03  0.127E-01  0.000E+00  0.905E-11  0.181E-07  0.116E-07
