                   LOVE WAVE        MODE #  0
        T = 0.7250E+01 C =    0.1156E+01 U   = 0.4616E+00
        AL= 0.8503E+00 GAMMA= 0.1565E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.152E+01  0.308E+01 -0.234E+00
    2   0.315E+00 -0.654E+00 -0.191E+00  0.610E+00  0.106E+00
    3   0.125E+00 -0.607E+00 -0.367E-01  0.138E+00  0.417E-01
    4   0.518E-01 -0.425E+00 -0.338E-02  0.293E-01  0.118E-01
    5   0.249E-01 -0.243E+00 -0.541E-03  0.730E-02  0.323E-02
    6   0.122E-01 -0.133E+00 -0.297E-03  0.189E-02  0.868E-03
    7   0.558E-02 -0.756E-01 -0.125E-03  0.456E-03  0.228E-03
    8   0.231E-02 -0.449E-01 -0.229E-04  0.940E-04  0.538E-04
    9   0.989E-03 -0.253E-01 -0.210E-05  0.197E-04  0.124E-04
   10   0.461E-03 -0.131E-01 -0.198E-06  0.452E-05  0.293E-05
   11   0.222E-03 -0.658E-02  0.820E-08  0.107E-05  0.696E-06
   12   0.109E-03 -0.321E-02  0.227E-08  0.258E-06  0.166E-06
   13   0.538E-04 -0.157E-02  0.514E-09  0.625E-07  0.398E-07
   14   0.265E-04 -0.767E-03  0.495E-10  0.152E-07  0.954E-08
   15   0.130E-04 -0.376E-03 -0.483E-10  0.368E-08  0.229E-08
   16   0.636E-05 -0.186E-03 -0.108E-11  0.882E-09  0.550E-09
   17   0.312E-05 -0.913E-04  0.175E-11  0.212E-09  0.133E-09
   18   0.154E-05 -0.447E-04 -0.247E-12  0.512E-10  0.322E-10
   19   0.753E-06 -0.220E-04 -0.642E-13  0.123E-10  0.776E-11
   20   0.369E-06 -0.108E-04 -0.112E-13  0.296E-11  0.187E-11
   21   0.181E-06 -0.532E-05 -0.117E-14  0.713E-12  0.449E-12
   22   0.886E-07 -0.261E-05 -0.440E-15  0.172E-12  0.108E-12
   23   0.434E-07 -0.128E-05 -0.546E-15  0.414E-13  0.261E-13
   24   0.212E-07 -0.634E-06 -0.572E-15  0.996E-14  0.628E-14
   25   0.101E-07 -0.319E-06 -0.584E-15  0.240E-14  0.152E-14
   26   0.439E-08 -0.174E-06 -0.104E-15  0.516E-15  0.338E-15
   27   0.195E-08 -0.920E-07  0.366E-22  0.111E-15  0.751E-16
   28   0.947E-09 -0.447E-07  0.366E-22  0.263E-16  0.177E-16
   29   0.460E-09 -0.217E-07  0.366E-22  0.619E-17  0.418E-17
   30   0.223E-09 -0.105E-07  0.366E-22  0.146E-17  0.985E-18
   31   0.109E-09 -0.512E-08  0.366E-22  0.345E-18  0.232E-18
   32   0.527E-10 -0.249E-08  0.366E-22  0.813E-19  0.548E-19
   33   0.256E-10 -0.121E-08  0.366E-22  0.192E-19  0.129E-19
   34   0.124E-10 -0.586E-09  0.195E-22  0.453E-20  0.305E-20
   35   0.605E-11 -0.284E-09  0.469E-23  0.107E-20  0.720E-21
   36   0.295E-11 -0.138E-09  0.103E-23  0.253E-21  0.170E-21
   37   0.143E-11 -0.668E-10  0.276E-24  0.597E-22  0.401E-22
   38   0.698E-12 -0.324E-10  0.535E-25  0.141E-22  0.947E-23
   39   0.339E-12 -0.157E-10  0.114E-25  0.334E-23  0.224E-23
   40   0.165E-12 -0.763E-11  0.000E+00  0.789E-24  0.528E-24
   41   0.803E-13 -0.371E-11  0.000E+00  0.244E-24  0.163E-24
