                   LOVE WAVE        MODE #  0
        T = 0.8750E+01 C =    0.1589E+01 U   = 0.5775E+00
        AL= 0.3730E+00 GAMMA= 0.1036E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.202E+01  0.295E+01 -0.456E+00
    2   0.436E+00 -0.556E+00 -0.523E+00  0.976E+00  0.948E-01
    3   0.242E+00 -0.710E+00 -0.180E+00  0.411E+00  0.985E-01
    4   0.142E+00 -0.670E+00 -0.386E-01  0.165E+00  0.566E-01
    5   0.923E-01 -0.530E+00 -0.158E-01  0.766E-01  0.298E-01
    6   0.601E-01 -0.404E+00 -0.121E-01  0.366E-01  0.153E-01
    7   0.366E-01 -0.317E+00 -0.740E-02  0.162E-01  0.758E-02
    8   0.208E-01 -0.250E+00 -0.228E-02  0.607E-02  0.329E-02
    9   0.124E-01 -0.187E+00 -0.377E-03  0.233E-02  0.139E-02
   10   0.789E-02 -0.130E+00 -0.570E-04  0.983E-03  0.605E-03
   11   0.516E-02 -0.878E-01  0.637E-05  0.426E-03  0.264E-03
   12   0.344E-02 -0.580E-01  0.285E-05  0.189E-03  0.116E-03
   13   0.229E-02 -0.384E-01  0.959E-06  0.838E-04  0.507E-04
   14   0.153E-02 -0.254E-01  0.475E-07  0.372E-04  0.222E-04
   15   0.102E-02 -0.169E-01 -0.307E-06  0.165E-04  0.977E-05
   16   0.672E-03 -0.113E-01 -0.696E-08  0.727E-05  0.430E-05
   17   0.446E-03 -0.750E-02  0.280E-07  0.320E-05  0.191E-05
   18   0.297E-03 -0.497E-02 -0.141E-07  0.142E-05  0.847E-06
   19   0.197E-03 -0.331E-02 -0.699E-08  0.624E-06  0.374E-06
   20   0.131E-03 -0.221E-02 -0.320E-08  0.275E-06  0.165E-06
   21   0.865E-04 -0.147E-02 -0.189E-08  0.121E-06  0.727E-07
   22   0.572E-04 -0.981E-03 -0.172E-08  0.535E-07  0.321E-07
   23   0.377E-04 -0.657E-03 -0.176E-08  0.236E-07  0.141E-07
   24   0.246E-04 -0.445E-03 -0.179E-08  0.104E-07  0.626E-08
   25   0.156E-04 -0.308E-03 -0.180E-08  0.458E-08  0.279E-08
   26   0.926E-05 -0.223E-03 -0.513E-09  0.179E-08  0.113E-08
   27   0.568E-05 -0.156E-03  0.216E-13  0.706E-09  0.460E-09
   28   0.373E-05 -0.103E-03  0.216E-13  0.304E-09  0.198E-09
   29   0.245E-05 -0.674E-04  0.216E-13  0.131E-09  0.853E-10
   30   0.161E-05 -0.442E-04  0.216E-13  0.564E-10  0.367E-10
   31   0.105E-05 -0.290E-04  0.216E-13  0.243E-10  0.158E-10
   32   0.692E-06 -0.190E-04  0.216E-13  0.104E-10  0.681E-11
   33   0.454E-06 -0.125E-04  0.216E-13  0.450E-11  0.293E-11
   34   0.298E-06 -0.818E-05  0.159E-13  0.194E-11  0.126E-11
   35   0.196E-06 -0.536E-05  0.685E-14  0.835E-12  0.544E-12
   36   0.129E-06 -0.351E-05  0.278E-14  0.360E-12  0.234E-12
   37   0.847E-07 -0.230E-05  0.125E-14  0.155E-12  0.101E-12
   38   0.557E-07 -0.151E-05  0.425E-15  0.671E-13  0.435E-13
   39   0.366E-07 -0.987E-06  0.141E-15  0.289E-13  0.187E-13
   40   0.240E-07 -0.648E-06  0.000E+00  0.125E-13  0.807E-14
   41   0.158E-07 -0.425E-06  0.000E+00  0.946E-14  0.611E-14
