                   LOVE WAVE        MODE #  0
        T = 0.6750E+01 C =    0.1046E+01 U   = 0.4545E+00
        AL= 0.1017E+01 GAMMA= 0.1707E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.124E+01  0.284E+01 -0.165E+00
    2   0.279E+00 -0.682E+00 -0.114E+00  0.453E+00  0.857E-01
    3   0.961E-01 -0.549E+00 -0.169E-01  0.777E-01  0.244E-01
    4   0.341E-01 -0.336E+00 -0.112E-02  0.123E-01  0.514E-02
    5   0.141E-01 -0.166E+00 -0.117E-03  0.231E-02  0.105E-02
    6   0.605E-02 -0.780E-01 -0.523E-04  0.449E-03  0.211E-03
    7   0.242E-02 -0.383E-01 -0.179E-04  0.817E-04  0.414E-04
    8   0.867E-03 -0.198E-01 -0.255E-05  0.127E-04  0.737E-05
    9   0.320E-03 -0.976E-02 -0.176E-06  0.201E-05  0.128E-05
   10   0.129E-03 -0.440E-02 -0.130E-07  0.348E-06  0.227E-06
   11   0.539E-04 -0.192E-02  0.364E-09  0.619E-07  0.407E-07
   12   0.230E-04 -0.813E-03  0.779E-10  0.113E-07  0.733E-08
   13   0.984E-05 -0.345E-03  0.140E-10  0.206E-08  0.132E-08
   14   0.421E-05 -0.146E-03  0.126E-11  0.376E-09  0.239E-09
   15   0.180E-05 -0.622E-04 -0.757E-12  0.686E-10  0.432E-10
   16   0.761E-06 -0.267E-04 -0.168E-13  0.124E-10  0.781E-11
   17   0.324E-06 -0.114E-04  0.162E-13  0.224E-11  0.142E-11
   18   0.139E-06 -0.483E-05 -0.153E-14  0.408E-12  0.260E-12
   19   0.590E-07 -0.206E-05 -0.308E-15  0.740E-13  0.471E-13
   20   0.251E-07 -0.881E-06 -0.406E-16  0.134E-13  0.854E-14
   21   0.107E-07 -0.376E-06 -0.232E-17  0.243E-14  0.155E-14
   22   0.454E-08 -0.160E-06 -0.231E-18  0.441E-15  0.281E-15
   23   0.193E-08 -0.683E-07 -0.459E-18  0.801E-16  0.509E-16
   24   0.820E-09 -0.292E-07 -0.500E-18  0.145E-16  0.923E-17
   25   0.342E-09 -0.127E-07 -0.515E-18  0.264E-17  0.168E-17
   26   0.128E-09 -0.601E-08 -0.727E-19  0.428E-18  0.282E-18
   27   0.493E-10 -0.278E-08  0.296E-26  0.696E-19  0.472E-19
   28   0.208E-10 -0.117E-08  0.296E-26  0.124E-19  0.840E-20
   29   0.876E-11 -0.494E-09  0.296E-26  0.220E-20  0.149E-20
   30   0.369E-11 -0.208E-09  0.296E-26  0.391E-21  0.266E-21
   31   0.156E-11 -0.879E-10  0.296E-26  0.696E-22  0.472E-22
   32   0.657E-12 -0.371E-10  0.296E-26  0.124E-22  0.840E-23
   33   0.277E-12 -0.156E-10  0.296E-26  0.220E-23  0.149E-23
   34   0.117E-12 -0.658E-11  0.132E-26  0.391E-24  0.266E-24
   35   0.494E-13 -0.277E-11  0.239E-27  0.697E-25  0.473E-25
   36   0.209E-13 -0.117E-11  0.391E-28  0.124E-25  0.841E-26
   37   0.882E-14 -0.491E-12  0.809E-29  0.221E-26  0.150E-26
   38   0.373E-14 -0.207E-12  0.119E-29  0.394E-27  0.266E-27
   39   0.157E-14 -0.871E-13  0.202E-30  0.702E-28  0.474E-28
   40   0.665E-15 -0.367E-13  0.000E+00  0.125E-28  0.844E-29
   41   0.281E-15 -0.155E-13  0.000E+00  0.271E-29  0.183E-29
