                   LOVE WAVE        MODE #  0
        T = 0.3500E+01 C =    0.6796E+00 U   = 0.5321E+00
        AL= 0.1640E+01 GAMMA= 0.2812E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.189E+00  0.140E+01 -0.898E-02
    2   0.109E+00 -0.801E+00 -0.591E-03  0.271E-01  0.638E-02
    3   0.736E-02 -0.123E+00 -0.318E-05  0.181E-03  0.627E-04
    4   0.462E-03 -0.140E-01 -0.635E-08  0.962E-06  0.430E-06
    5   0.339E-04 -0.123E-02 -0.130E-10  0.570E-08  0.275E-08
    6   0.261E-05 -0.101E-03 -0.216E-12  0.348E-10  0.172E-10
    7   0.189E-06 -0.859E-05 -0.300E-14  0.199E-12  0.105E-12
    8   0.120E-07 -0.792E-06 -0.144E-16  0.984E-15  0.586E-15
    9   0.767E-09 -0.697E-07 -0.304E-19  0.482E-17  0.314E-17
   10   0.540E-10 -0.553E-08 -0.756E-22  0.256E-19  0.172E-19
   11   0.391E-11 -0.424E-09  0.487E-25  0.139E-21  0.939E-22
   12   0.292E-12 -0.314E-10  0.334E-27  0.777E-24  0.517E-24
   13   0.218E-13 -0.233E-11  0.204E-29  0.433E-26  0.285E-26
   14   0.163E-14 -0.173E-12  0.970E-32  0.242E-28  0.158E-28
   15   0.122E-15 -0.128E-13 -0.113E-33  0.135E-30  0.872E-31
   16   0.905E-17 -0.965E-15  0.000E+00  0.749E-33  0.483E-33
   17   0.673E-18 -0.721E-16  0.000E+00  0.414E-35  0.269E-35
   18   0.505E-19 -0.534E-17  0.000E+00  0.000E+00  0.000E+00
   19   0.375E-20 -0.399E-18  0.000E+00  0.000E+00  0.000E+00
   20   0.279E-21 -0.298E-19  0.000E+00  0.000E+00  0.000E+00
   21   0.207E-22 -0.223E-20  0.000E+00  0.000E+00  0.000E+00
   22   0.154E-23 -0.166E-21  0.000E+00  0.000E+00  0.000E+00
   23   0.115E-24 -0.124E-22  0.000E+00  0.000E+00  0.000E+00
   24   0.858E-26 -0.921E-24  0.000E+00  0.000E+00  0.000E+00
   25   0.640E-27 -0.686E-25  0.000E+00  0.000E+00  0.000E+00
   26   0.419E-28 -0.572E-26  0.000E+00  0.000E+00  0.000E+00
   27   0.276E-29 -0.470E-27  0.000E+00  0.000E+00  0.000E+00
   28   0.203E-30 -0.346E-28  0.000E+00  0.000E+00  0.000E+00
   29   0.150E-31 -0.255E-29  0.000E+00  0.000E+00  0.000E+00
   30   0.110E-32 -0.188E-30  0.000E+00  0.000E+00  0.000E+00
   31   0.810E-34 -0.138E-31  0.000E+00  0.000E+00  0.000E+00
   32   0.596E-35 -0.102E-32  0.000E+00  0.000E+00  0.000E+00
   33   0.000E+00 -0.747E-34  0.000E+00  0.000E+00  0.000E+00
   34   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   35   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   36   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   37   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   38   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   39   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   40   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
