                      RAYLEIGH WAVE      MODE #  0
        T = 0.3000E+01 C =    0.6522E+00 U   = 0.3857E+00
        AR= 0.1824E+01 GAMMA= 0.4392E-02 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1   0.476E+00  0.000E+00  0.100E+01  0.000E+00 -0.451E+00  0.341E-01  0.165E+01 -0.195E-01
    2  -0.601E-01  0.140E+01  0.102E+00 -0.175E+01 -0.112E-02  0.208E-03  0.540E-01  0.139E-01
    3  -0.422E-02  0.197E+00  0.577E-02 -0.225E+00 -0.359E-05  0.757E-06  0.296E-03  0.107E-03
    4  -0.210E-03  0.171E-01  0.268E-03 -0.189E-01 -0.375E-08  0.191E-08  0.909E-06  0.418E-06
    5  -0.116E-04  0.112E-02  0.141E-04 -0.121E-02 -0.373E-11  0.380E-11  0.290E-08  0.143E-08
    6  -0.641E-06  0.647E-04  0.749E-06 -0.685E-04 -0.278E-13  0.727E-14  0.872E-11  0.441E-11
    7  -0.311E-07  0.364E-05  0.355E-07 -0.383E-05 -0.157E-15  0.158E-16  0.218E-13  0.117E-13
    8  -0.123E-08  0.208E-06  0.139E-08 -0.219E-06 -0.290E-18  0.302E-19  0.415E-16  0.250E-16
    9  -0.493E-10  0.114E-07  0.555E-10 -0.119E-07 -0.244E-21  0.510E-22  0.792E-19  0.521E-19
   10  -0.224E-11  0.581E-09  0.249E-11 -0.606E-09 -0.247E-24  0.873E-25  0.173E-21  0.117E-21
   11  -0.104E-12  0.285E-10  0.115E-12 -0.296E-10  0.632E-28  0.143E-27  0.385E-24  0.262E-24
   12  -0.500E-14  0.135E-11  0.543E-14 -0.140E-11  0.173E-30  0.231E-30  0.873E-27  0.586E-27
   13  -0.236E-15  0.633E-13  0.255E-15 -0.652E-13  0.412E-33  0.373E-33  0.193E-29  0.128E-29
   14  -0.111E-16  0.293E-14  0.118E-16 -0.301E-14  0.000E+00  0.000E+00  0.418E-32  0.275E-32
   15  -0.512E-18  0.134E-15  0.544E-18 -0.138E-15  0.000E+00  0.000E+00  0.891E-35  0.579E-35
   16  -0.232E-19  0.617E-17  0.245E-19 -0.631E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   17  -0.105E-20  0.280E-18  0.111E-20 -0.286E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   18  -0.477E-22  0.126E-19  0.501E-22 -0.128E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   19  -0.213E-23  0.565E-21  0.223E-23 -0.574E-21  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   20  -0.948E-25  0.252E-22  0.991E-25 -0.256E-22  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   21  -0.420E-26  0.112E-23  0.438E-26 -0.114E-23  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   22  -0.186E-27  0.497E-25  0.194E-27 -0.503E-25  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   23  -0.822E-29  0.219E-26  0.854E-29 -0.222E-26  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   24  -0.362E-30  0.966E-28  0.376E-30 -0.976E-28  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   25  -0.159E-31  0.424E-29  0.165E-31 -0.429E-29  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   26  -0.592E-33  0.200E-30  0.612E-33 -0.202E-30  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   27  -0.221E-34  0.933E-32  0.229E-34 -0.945E-32  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   28   0.000E+00  0.406E-33  0.000E+00 -0.411E-33  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   29   0.000E+00  0.176E-34  0.000E+00 -0.178E-34  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   30   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   31   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   32   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   33   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   34   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   35   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   36   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   37   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   38   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   39   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   40   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
