                   LOVE WAVE        MODE #  0
        T = 0.8000E+01 C =    0.1357E+01 U   = 0.4993E+00
        AL= 0.5924E+00 GAMMA= 0.1311E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.188E+01  0.321E+01 -0.354E+00
    2   0.374E+00 -0.607E+00 -0.352E+00  0.843E+00  0.119E+00
    3   0.179E+00 -0.674E+00 -0.935E-01  0.270E+00  0.746E-01
    4   0.901E-01 -0.559E+00 -0.135E-01  0.820E-01  0.311E-01
    5   0.515E-01 -0.383E+00 -0.373E-02  0.292E-01  0.123E-01
    6   0.298E-01 -0.252E+00 -0.253E-02  0.107E-01  0.473E-02
    7   0.160E-01 -0.173E+00 -0.133E-02  0.366E-02  0.178E-02
    8   0.794E-02 -0.121E+00 -0.331E-03  0.106E-02  0.594E-03
    9   0.409E-02 -0.804E-01 -0.426E-04  0.314E-03  0.193E-03
   10   0.228E-02 -0.493E-01 -0.533E-05  0.102E-03  0.648E-04
   11   0.131E-02 -0.293E-01  0.377E-06  0.341E-04  0.218E-04
   12   0.765E-03 -0.170E-01  0.139E-06  0.117E-04  0.736E-05
   13   0.448E-03 -0.988E-02  0.404E-07  0.400E-05  0.249E-05
   14   0.262E-03 -0.575E-02  0.349E-08  0.137E-05  0.844E-06
   15   0.153E-03 -0.335E-02 -0.753E-08  0.470E-06  0.286E-06
   16   0.890E-04 -0.197E-02 -0.147E-09  0.159E-06  0.973E-07
   17   0.520E-04 -0.115E-02  0.495E-09  0.541E-07  0.333E-07
   18   0.304E-04 -0.669E-03 -0.126E-09  0.185E-07  0.114E-07
   19   0.177E-04 -0.392E-03 -0.457E-10  0.629E-08  0.388E-08
   20   0.103E-04 -0.229E-03 -0.126E-10  0.214E-08  0.132E-08
   21   0.601E-05 -0.134E-03 -0.373E-11  0.728E-09  0.449E-09
   22   0.350E-05 -0.784E-04 -0.283E-11  0.248E-09  0.153E-09
   23   0.204E-05 -0.459E-04 -0.302E-11  0.844E-10  0.521E-10
   24   0.117E-05 -0.271E-04 -0.308E-11  0.287E-10  0.178E-10
   25   0.660E-06 -0.164E-04 -0.313E-11  0.979E-11  0.609E-11
   26   0.342E-06 -0.105E-04 -0.735E-12  0.296E-11  0.191E-11
   27   0.182E-06 -0.655E-05  0.384E-17  0.902E-12  0.600E-12
   28   0.105E-06 -0.378E-05  0.384E-17  0.300E-12  0.200E-12
   29   0.608E-07 -0.218E-05  0.384E-17  0.100E-12  0.665E-13
   30   0.351E-07 -0.126E-05  0.384E-17  0.333E-13  0.221E-13
   31   0.202E-07 -0.727E-06  0.384E-17  0.111E-13  0.737E-14
   32   0.117E-07 -0.419E-06  0.384E-17  0.369E-14  0.246E-14
   33   0.674E-08 -0.242E-06  0.384E-17  0.123E-14  0.818E-15
   34   0.389E-08 -0.139E-06  0.249E-17  0.410E-15  0.272E-15
   35   0.225E-08 -0.803E-07  0.837E-18  0.137E-15  0.907E-16
   36   0.130E-08 -0.463E-07  0.262E-18  0.456E-16  0.302E-16
   37   0.752E-09 -0.267E-07  0.952E-19  0.152E-16  0.101E-16
   38   0.435E-09 -0.154E-07  0.257E-19  0.507E-17  0.335E-17
   39   0.251E-09 -0.885E-08  0.713E-20  0.169E-17  0.112E-17
   40   0.145E-09 -0.511E-08  0.000E+00  0.565E-18  0.373E-18
   41   0.839E-10 -0.295E-08  0.000E+00  0.282E-18  0.186E-18
