                   LOVE WAVE        MODE #  0
        T = 0.9500E+01 C =    0.1830E+01 U   = 0.6895E+00
        AL= 0.2246E+00 GAMMA= 0.7994E-03 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.194E+01  0.246E+01 -0.509E+00
    2   0.496E+00 -0.504E+00 -0.651E+00  0.975E+00  0.416E-01
    3   0.309E+00 -0.716E+00 -0.272E+00  0.505E+00  0.981E-01
    4   0.202E+00 -0.745E+00 -0.804E-01  0.248E+00  0.747E-01
    5   0.144E+00 -0.657E+00 -0.424E-01  0.140E+00  0.495E-01
    6   0.102E+00 -0.558E+00 -0.351E-01  0.811E-01  0.316E-01
    7   0.680E-01 -0.481E+00 -0.235E-01  0.433E-01  0.193E-01
    8   0.429E-01 -0.414E+00 -0.841E-02  0.195E-01  0.101E-01
    9   0.284E-01 -0.336E+00 -0.165E-02  0.904E-02  0.519E-02
   10   0.200E-01 -0.255E+00 -0.282E-03  0.462E-02  0.273E-02
   11   0.144E-01 -0.189E+00  0.458E-04  0.242E-02  0.144E-02
   12   0.105E-01 -0.137E+00  0.230E-04  0.129E-02  0.760E-03
   13   0.771E-02 -0.995E-01  0.828E-05  0.691E-03  0.401E-03
   14   0.564E-02 -0.724E-01 -0.208E-06  0.370E-03  0.212E-03
   15   0.411E-02 -0.528E-01 -0.420E-05  0.198E-03  0.112E-03
   16   0.299E-02 -0.387E-01 -0.257E-06  0.105E-03  0.597E-04
   17   0.218E-02 -0.283E-01  0.324E-06  0.558E-04  0.320E-04
   18   0.159E-02 -0.206E-01 -0.478E-06  0.297E-04  0.171E-04
   19   0.116E-02 -0.151E-01 -0.314E-06  0.158E-04  0.909E-05
   20   0.843E-03 -0.111E-01 -0.208E-06  0.840E-05  0.484E-05
   21   0.612E-03 -0.811E-02 -0.164E-06  0.446E-05  0.257E-05
   22   0.443E-03 -0.596E-02 -0.157E-06  0.237E-05  0.137E-05
   23   0.319E-03 -0.440E-02 -0.160E-06  0.126E-05  0.729E-06
   24   0.227E-03 -0.329E-02 -0.161E-06  0.665E-06  0.389E-06
   25   0.157E-03 -0.251E-02 -0.162E-06  0.353E-06  0.210E-06
   26   0.103E-03 -0.198E-02 -0.525E-07  0.166E-06  0.102E-06
   27   0.702E-04 -0.151E-02  0.105E-10  0.791E-07  0.503E-07
   28   0.505E-04 -0.109E-02  0.105E-10  0.410E-07  0.260E-07
   29   0.363E-04 -0.781E-03  0.105E-10  0.212E-07  0.135E-07
   30   0.262E-04 -0.562E-03  0.105E-10  0.110E-07  0.698E-08
   31   0.188E-04 -0.404E-03  0.105E-10  0.569E-08  0.362E-08
   32   0.136E-04 -0.291E-03  0.105E-10  0.295E-08  0.187E-08
   33   0.976E-05 -0.209E-03  0.105E-10  0.153E-08  0.970E-09
   34   0.703E-05 -0.150E-03  0.836E-11  0.792E-09  0.502E-09
   35   0.507E-05 -0.108E-03  0.429E-11  0.411E-09  0.260E-09
   36   0.365E-05 -0.776E-04  0.208E-11  0.213E-09  0.135E-09
   37   0.263E-05 -0.558E-04  0.108E-11  0.111E-09  0.699E-10
   38   0.190E-05 -0.401E-04  0.430E-12  0.574E-10  0.362E-10
   39   0.137E-05 -0.288E-04  0.161E-12  0.298E-10  0.188E-10
   40   0.987E-06 -0.207E-04  0.000E+00  0.155E-10  0.973E-11
   41   0.711E-06 -0.149E-04  0.000E+00  0.166E-10  0.105E-10
