                   LOVE WAVE        MODE #  0
        T = 0.9000E+01 C =    0.1669E+01 U   = 0.6119E+00
        AL= 0.3155E+00 GAMMA= 0.9508E-03 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.202E+01  0.280E+01 -0.479E+00
    2   0.456E+00 -0.538E+00 -0.572E+00  0.989E+00  0.791E-01
    3   0.265E+00 -0.715E+00 -0.211E+00  0.449E+00  0.101E+00
    4   0.161E+00 -0.699E+00 -0.508E-01  0.194E+00  0.641E-01
    5   0.109E+00 -0.575E+00 -0.229E-01  0.970E-01  0.367E-01
    6   0.730E-01 -0.457E+00 -0.182E-01  0.498E-01  0.204E-01
    7   0.459E-01 -0.371E+00 -0.115E-01  0.236E-01  0.109E-01
    8   0.271E-01 -0.303E+00 -0.375E-02  0.947E-02  0.506E-02
    9   0.168E-01 -0.233E+00 -0.660E-03  0.389E-02  0.230E-02
   10   0.111E-01 -0.168E+00 -0.105E-03  0.176E-02  0.107E-02
   11   0.753E-02 -0.117E+00  0.134E-04  0.821E-03  0.503E-03
   12   0.519E-02 -0.801E-01  0.626E-05  0.390E-03  0.236E-03
   13   0.358E-02 -0.548E-01  0.217E-05  0.185E-03  0.111E-03
   14   0.247E-02 -0.376E-01  0.657E-07  0.882E-04  0.521E-04
   15   0.170E-02 -0.259E-01 -0.813E-06  0.420E-04  0.245E-04
   16   0.116E-02 -0.179E-01 -0.240E-07  0.198E-04  0.116E-04
   17   0.801E-03 -0.123E-01  0.762E-07  0.934E-05  0.551E-05
   18   0.552E-03 -0.846E-02 -0.512E-07  0.443E-05  0.262E-05
   19   0.379E-03 -0.583E-02 -0.280E-07  0.209E-05  0.124E-05
   20   0.260E-03 -0.403E-02 -0.149E-07  0.989E-06  0.585E-06
   21   0.178E-03 -0.278E-02 -0.997E-08  0.467E-06  0.277E-06
   22   0.122E-03 -0.192E-02 -0.929E-08  0.221E-06  0.131E-06
   23   0.830E-04 -0.133E-02 -0.949E-08  0.104E-06  0.619E-07
   24   0.559E-04 -0.936E-03 -0.959E-08  0.491E-07  0.293E-07
   25   0.366E-04 -0.672E-03 -0.968E-08  0.232E-07  0.140E-07
   26   0.226E-04 -0.503E-03 -0.289E-08  0.970E-08  0.610E-08
   27   0.144E-04 -0.364E-03  0.216E-12  0.411E-08  0.266E-08
   28   0.977E-05 -0.247E-03  0.216E-12  0.190E-08  0.123E-08
   29   0.663E-05 -0.168E-03  0.216E-12  0.874E-09  0.565E-09
   30   0.451E-05 -0.114E-03  0.216E-12  0.403E-09  0.261E-09
   31   0.306E-05 -0.773E-04  0.216E-12  0.186E-09  0.120E-09
   32   0.208E-05 -0.525E-04  0.216E-12  0.857E-10  0.554E-10
   33   0.141E-05 -0.356E-04  0.216E-12  0.395E-10  0.256E-10
   34   0.960E-06 -0.242E-04  0.163E-12  0.182E-10  0.118E-10
   35   0.653E-06 -0.164E-04  0.753E-13  0.842E-11  0.544E-11
   36   0.444E-06 -0.111E-04  0.326E-13  0.389E-11  0.251E-11
   37   0.302E-06 -0.753E-05  0.155E-13  0.180E-11  0.116E-11
   38   0.206E-06 -0.511E-05  0.560E-14  0.831E-12  0.534E-12
   39   0.140E-06 -0.346E-05  0.195E-14  0.384E-12  0.246E-12
   40   0.951E-07 -0.235E-05  0.000E+00  0.177E-12  0.114E-12
   41   0.646E-07 -0.160E-05  0.000E+00  0.152E-12  0.976E-13
