                      RAYLEIGH WAVE      MODE #  0
        T = 0.9750E+01 C =    0.2553E+01 U   = 0.1502E+01
        AR= 0.1777E-03 GAMMA= 0.2520E-03 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1   0.157E+02  0.000E+00  0.100E+01  0.000E+00 -0.925E+00  0.423E-01  0.118E+01 -0.292E+00
    2   0.835E+01 -0.669E+01  0.323E+01 -0.241E+01 -0.313E+00  0.804E-01  0.391E+00 -0.186E-01
    3   0.525E+01 -0.748E+01  0.399E+01 -0.753E+01 -0.158E+00  0.102E+00  0.773E-01  0.281E-03
    4   0.332E+01 -0.486E+01  0.409E+01 -0.130E+02 -0.963E-01  0.960E-01 -0.286E-01 -0.358E-02
    5   0.208E+01 -0.592E+00  0.392E+01 -0.176E+02 -0.856E-01  0.787E-01 -0.429E-01 -0.393E-02
    6   0.123E+01  0.327E+01  0.360E+01 -0.211E+02 -0.817E-01  0.654E-01 -0.253E-01  0.759E-02
    7   0.698E+00  0.647E+01  0.317E+01 -0.232E+02 -0.694E-01  0.513E-01 -0.276E-02  0.187E-01
    8   0.398E+00  0.924E+01  0.273E+01 -0.243E+02 -0.363E-01  0.298E-01  0.986E-02  0.164E-01
    9   0.163E+00  0.118E+02  0.241E+01 -0.244E+02 -0.122E-01  0.156E-01  0.170E-01  0.129E-01
   10  -0.480E-01  0.136E+02  0.216E+01 -0.237E+02 -0.410E-02  0.894E-02  0.238E-01  0.137E-01
   11  -0.206E+00  0.145E+02  0.194E+01 -0.225E+02 -0.383E-03  0.506E-02  0.276E-01  0.145E-01
   12  -0.318E+00  0.146E+02  0.173E+01 -0.210E+02 -0.568E-03  0.305E-02  0.295E-01  0.151E-01
   13  -0.383E+00  0.141E+02  0.154E+01 -0.193E+02 -0.934E-03  0.186E-02  0.287E-01  0.147E-01
   14  -0.413E+00  0.133E+02  0.135E+01 -0.175E+02 -0.136E-02  0.116E-02  0.263E-01  0.135E-01
   15  -0.417E+00  0.123E+02  0.118E+01 -0.158E+02 -0.170E-02  0.740E-03  0.231E-01  0.119E-01
   16  -0.403E+00  0.113E+02  0.102E+01 -0.141E+02 -0.110E-02  0.451E-03  0.192E-01  0.997E-02
   17  -0.382E+00  0.102E+02  0.885E+00 -0.126E+02 -0.970E-03  0.295E-03  0.158E-01  0.835E-02
   18  -0.356E+00  0.904E+01  0.759E+00 -0.111E+02 -0.126E-02  0.210E-03  0.128E-01  0.688E-02
   19  -0.325E+00  0.797E+01  0.646E+00 -0.981E+01 -0.117E-02  0.142E-03  0.100E-01  0.546E-02
   20  -0.292E+00  0.698E+01  0.545E+00 -0.863E+01 -0.109E-02  0.979E-04  0.773E-02  0.426E-02
   21  -0.260E+00  0.607E+01  0.457E+00 -0.758E+01 -0.104E-02  0.711E-04  0.589E-02  0.329E-02
   22  -0.228E+00  0.526E+01  0.379E+00 -0.665E+01 -0.103E-02  0.561E-04  0.445E-02  0.252E-02
   23  -0.196E+00  0.455E+01  0.311E+00 -0.583E+01 -0.103E-02  0.491E-04  0.332E-02  0.192E-02
   24  -0.165E+00  0.396E+01  0.252E+00 -0.510E+01 -0.104E-02  0.476E-04  0.245E-02  0.146E-02
   25  -0.131E+00  0.351E+01  0.202E+00 -0.443E+01 -0.104E-02  0.516E-04  0.178E-02  0.110E-02
   26  -0.957E-01  0.320E+01  0.159E+00 -0.380E+01 -0.388E-03  0.198E-04  0.106E-02  0.660E-03
   27  -0.743E-01  0.285E+01  0.130E+00 -0.322E+01  0.122E-05  0.444E-05  0.642E-03  0.397E-03
   28  -0.640E-01  0.243E+01  0.109E+00 -0.271E+01  0.122E-05  0.275E-05  0.465E-03  0.288E-03
   29  -0.548E-01  0.206E+01  0.913E-01 -0.228E+01  0.122E-05  0.170E-05  0.335E-03  0.208E-03
   30  -0.468E-01  0.175E+01  0.763E-01 -0.192E+01  0.122E-05  0.105E-05  0.240E-03  0.149E-03
   31  -0.398E-01  0.147E+01  0.638E-01 -0.160E+01  0.122E-05  0.645E-06  0.171E-03  0.106E-03
   32  -0.337E-01  0.124E+01  0.532E-01 -0.134E+01  0.122E-05  0.394E-06  0.121E-03  0.751E-04
   33  -0.285E-01  0.104E+01  0.443E-01 -0.112E+01  0.122E-05  0.238E-06  0.855E-04  0.530E-04
   34  -0.241E-01  0.874E+00  0.369E-01 -0.932E+00  0.108E-05  0.143E-06  0.601E-04  0.373E-04
   35  -0.203E-01  0.731E+00  0.307E-01 -0.775E+00  0.713E-06  0.878E-07  0.422E-04  0.262E-04
   36  -0.171E-01  0.610E+00  0.255E-01 -0.644E+00  0.445E-06  0.542E-07  0.295E-04  0.183E-04
   37  -0.143E-01  0.508E+00  0.212E-01 -0.535E+00  0.283E-06  0.334E-07  0.206E-04  0.128E-04
   38  -0.120E-01  0.423E+00  0.175E-01 -0.444E+00  0.142E-06  0.210E-07  0.143E-04  0.888E-05
   39  -0.101E-01  0.351E+00  0.145E-01 -0.368E+00  0.628E-07  0.132E-07  0.995E-05  0.616E-05
   40  -0.840E-02  0.292E+00  0.120E-01 -0.305E+00  0.000E+00  0.858E-08  0.689E-05  0.426E-05
   41  -0.699E-02  0.242E+00  0.992E-02 -0.252E+00  0.000E+00  0.141E-07  0.151E-04  0.934E-05
