                      RAYLEIGH WAVE      MODE #  0
        T = 0.7250E+01 C =    0.1936E+01 U   = 0.9688E+00
        AR= 0.3623E-02 GAMMA= 0.6210E-03 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1  -0.723E+01  0.000E+00  0.100E+01  0.000E+00 -0.149E+01  0.934E-01  0.305E+01 -0.280E+00
    2  -0.260E+01  0.438E+01 -0.820E+00  0.121E+01 -0.180E+00  0.100E+00  0.444E+00  0.710E-01
    3  -0.107E+01  0.270E+01 -0.114E+01  0.448E+01 -0.774E-01  0.818E-01 -0.786E-02  0.102E-01
    4  -0.390E+00 -0.120E+00 -0.106E+01  0.695E+01 -0.569E-01  0.461E-01 -0.163E-01  0.355E-02
    5  -0.609E-01 -0.231E+01 -0.892E+00  0.812E+01 -0.482E-01  0.249E-01  0.216E-01  0.155E-01
    6   0.923E-01 -0.333E+01 -0.692E+00  0.827E+01 -0.440E-01  0.156E-01  0.413E-01  0.252E-01
    7   0.123E+00 -0.375E+01 -0.494E+00  0.776E+01 -0.326E-01  0.940E-02  0.367E-01  0.237E-01
    8   0.925E-01 -0.388E+01 -0.334E+00  0.683E+01 -0.129E-01  0.355E-02  0.211E-01  0.142E-01
    9   0.709E-01 -0.371E+01 -0.235E+00  0.568E+01 -0.287E-02  0.110E-02  0.119E-01  0.789E-02
   10   0.619E-01 -0.327E+01 -0.173E+00  0.454E+01 -0.562E-03  0.405E-03  0.761E-02  0.494E-02
   11   0.535E-01 -0.271E+01 -0.129E+00  0.352E+01  0.967E-04  0.146E-03  0.481E-02  0.306E-02
   12   0.455E-01 -0.214E+01 -0.965E-01  0.267E+01  0.542E-04  0.589E-04  0.302E-02  0.188E-02
   13   0.371E-01 -0.165E+01 -0.714E-01  0.200E+01  0.205E-04  0.241E-04  0.181E-02  0.111E-02
   14   0.293E-01 -0.125E+01 -0.523E-01  0.149E+01 -0.167E-05  0.102E-04  0.105E-02  0.638E-03
   15   0.226E-01 -0.941E+00 -0.380E-01  0.109E+01 -0.127E-04  0.451E-05  0.595E-03  0.356E-03
   16   0.169E-01 -0.702E+00 -0.274E-01  0.800E+00 -0.392E-06  0.178E-05  0.323E-03  0.194E-03
   17   0.126E-01 -0.517E+00 -0.197E-01  0.580E+00  0.128E-05  0.742E-06  0.173E-03  0.105E-03
   18   0.935E-02 -0.375E+00 -0.141E-01  0.418E+00 -0.130E-05  0.357E-06  0.924E-04  0.561E-04
   19   0.681E-02 -0.272E+00 -0.999E-02  0.300E+00 -0.783E-06  0.155E-06  0.481E-04  0.292E-04
   20   0.493E-02 -0.195E+00 -0.705E-02  0.215E+00 -0.461E-06  0.671E-07  0.247E-04  0.150E-04
   21   0.356E-02 -0.139E+00 -0.494E-02  0.154E+00 -0.332E-06  0.299E-07  0.126E-04  0.768E-05
   22   0.256E-02 -0.986E-01 -0.344E-02  0.110E+00 -0.312E-06  0.148E-07  0.637E-05  0.389E-05
   23   0.183E-02 -0.693E-01 -0.236E-02  0.792E-01 -0.318E-06  0.893E-08  0.320E-05  0.196E-05
   24   0.129E-02 -0.486E-01 -0.158E-02  0.573E-01 -0.321E-06  0.727E-08  0.159E-05  0.987E-06
   25   0.874E-03 -0.347E-01 -0.103E-02  0.417E-01 -0.324E-06  0.852E-08  0.783E-06  0.496E-06
   26   0.514E-03 -0.263E-01 -0.641E-03  0.300E-01 -0.937E-07  0.225E-08  0.315E-06  0.205E-06
   27   0.315E-03 -0.196E-01 -0.419E-03  0.211E-01  0.876E-11  0.223E-09  0.129E-06  0.850E-07
   28   0.220E-03 -0.136E-01 -0.289E-03  0.146E-01  0.876E-11  0.937E-10  0.622E-07  0.411E-07
   29   0.154E-03 -0.946E-02 -0.199E-03  0.101E-01  0.876E-11  0.394E-10  0.299E-07  0.198E-07
   30   0.107E-03 -0.655E-02 -0.137E-03  0.696E-02  0.876E-11  0.165E-10  0.143E-07  0.947E-08
   31   0.739E-04 -0.453E-02 -0.942E-04  0.479E-02  0.876E-11  0.692E-11  0.684E-08  0.452E-08
   32   0.511E-04 -0.312E-02 -0.647E-04  0.329E-02  0.876E-11  0.287E-11  0.325E-08  0.214E-08
   33   0.352E-04 -0.215E-02 -0.443E-04  0.225E-02  0.876E-11  0.117E-11  0.154E-08  0.102E-08
   34   0.243E-04 -0.148E-02 -0.304E-04  0.154E-02  0.670E-11  0.470E-12  0.725E-09  0.479E-09
   35   0.167E-04 -0.101E-02 -0.208E-04  0.105E-02  0.313E-11  0.195E-12  0.342E-09  0.226E-09
   36   0.115E-04 -0.693E-03 -0.142E-04  0.720E-03  0.138E-11  0.814E-13  0.161E-09  0.106E-09
   37   0.792E-05 -0.473E-03 -0.971E-05  0.491E-03  0.661E-12  0.336E-13  0.755E-10  0.497E-10
   38   0.543E-05 -0.323E-03 -0.663E-05  0.335E-03  0.241E-12  0.143E-13  0.353E-10  0.232E-10
   39   0.372E-05 -0.220E-03 -0.452E-05  0.228E-03  0.843E-13  0.607E-14  0.165E-10  0.108E-10
   40   0.255E-05 -0.150E-03 -0.308E-05  0.155E-03  0.000E+00  0.273E-14  0.770E-11  0.505E-11
   41   0.174E-05 -0.102E-03 -0.209E-05  0.105E-03  0.000E+00  0.198E-14  0.665E-11  0.436E-11
