                      RAYLEIGH WAVE      MODE #  0
        T = 0.2750E+01 C =    0.6213E+00 U   = 0.4290E+00
        AR= 0.1748E+01 GAMMA= 0.4326E-02 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1   0.512E+00  0.000E+00  0.100E+01  0.000E+00 -0.279E+00  0.238E-01  0.139E+01 -0.101E-01
    2  -0.501E-01  0.133E+01  0.806E-01 -0.161E+01 -0.283E-03  0.804E-04  0.279E-01  0.725E-02
    3  -0.224E-02  0.119E+00  0.296E-02 -0.134E+00 -0.363E-06  0.121E-06  0.637E-04  0.232E-04
    4  -0.705E-04  0.652E-02  0.876E-04 -0.712E-02 -0.151E-09  0.127E-09  0.793E-07  0.365E-07
    5  -0.246E-05  0.270E-03  0.292E-05 -0.288E-03 -0.594E-13  0.101E-12  0.101E-09  0.499E-10
    6  -0.853E-07  0.981E-05  0.978E-07 -0.103E-04 -0.176E-15  0.750E-16  0.121E-12  0.610E-13
    7  -0.260E-08  0.348E-06  0.293E-08 -0.363E-06 -0.393E-18  0.615E-19  0.119E-15  0.641E-16
    8  -0.648E-10  0.125E-07  0.724E-10 -0.130E-07 -0.288E-21  0.476E-22  0.904E-19  0.546E-19
    9  -0.163E-11  0.431E-09  0.181E-11 -0.449E-09 -0.959E-25  0.332E-25  0.683E-22  0.450E-22
   10  -0.466E-13  0.138E-10  0.512E-13 -0.143E-10 -0.384E-28  0.227E-28  0.591E-25  0.399E-25
   11  -0.136E-14  0.426E-12  0.148E-14 -0.440E-12  0.387E-32  0.148E-31  0.519E-28  0.353E-28
   12  -0.410E-16  0.127E-13  0.442E-16 -0.131E-13  0.418E-35  0.943E-35  0.465E-31  0.313E-31
   13  -0.122E-17  0.373E-15  0.130E-17 -0.383E-15  0.000E+00  0.000E+00  0.406E-34  0.270E-34
   14  -0.358E-19  0.109E-16  0.380E-19 -0.111E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   15  -0.104E-20  0.313E-18  0.110E-20 -0.319E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   16  -0.296E-22  0.902E-20  0.311E-22 -0.919E-20  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   17  -0.842E-24  0.257E-21  0.882E-24 -0.262E-21  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   18  -0.240E-25  0.726E-23  0.251E-25 -0.737E-23  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   19  -0.674E-27  0.204E-24  0.703E-27 -0.207E-24  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   20  -0.188E-28  0.574E-26  0.196E-28 -0.581E-26  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   21  -0.525E-30  0.160E-27  0.545E-30 -0.162E-27  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   22  -0.146E-31  0.446E-29  0.151E-31 -0.451E-29  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   23  -0.405E-33  0.124E-30  0.419E-33 -0.125E-30  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   24  -0.112E-34  0.342E-32  0.116E-34 -0.345E-32  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   25   0.000E+00  0.942E-34  0.000E+00 -0.951E-34  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   26   0.000E+00  0.279E-35  0.000E+00 -0.282E-35  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   27   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   28   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   29   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   30   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   31   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   32   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   33   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   34   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   35   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   36   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   37   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   38   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   39   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   40   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
