                      RAYLEIGH WAVE      MODE #  0
        T = 0.7500E+01 C =    0.2004E+01 U   = 0.9926E+00
        AR= 0.2192E-02 GAMMA= 0.5754E-03 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1  -0.880E+01  0.000E+00  0.100E+01  0.000E+00 -0.151E+01  0.905E-01  0.293E+01 -0.303E+00
    2  -0.332E+01  0.515E+01 -0.106E+01  0.147E+01 -0.211E+00  0.105E+00  0.476E+00  0.677E-01
    3  -0.145E+01  0.351E+01 -0.146E+01  0.530E+01 -0.906E-01  0.909E-01 -0.206E-03  0.117E-01
    4  -0.579E+00  0.289E+00 -0.139E+01  0.839E+01 -0.666E-01  0.550E-01 -0.243E-01  0.218E-02
    5  -0.139E+00 -0.245E+01 -0.119E+01  0.101E+02 -0.580E-01  0.317E-01  0.144E-01  0.143E-01
    6   0.791E-01 -0.391E+01 -0.943E+00  0.105E+02 -0.535E-01  0.208E-01  0.401E-01  0.267E-01
    7   0.138E+00 -0.463E+01 -0.694E+00  0.101E+02 -0.407E-01  0.131E-01  0.401E-01  0.273E-01
    8   0.112E+00 -0.499E+01 -0.485E+00  0.912E+01 -0.169E-01  0.524E-02  0.251E-01  0.173E-01
    9   0.921E-01 -0.495E+01 -0.353E+00  0.780E+01 -0.397E-02  0.175E-02  0.153E-01  0.102E-01
   10   0.861E-01 -0.452E+01 -0.269E+00  0.641E+01 -0.810E-03  0.686E-03  0.106E-01  0.686E-02
   11   0.786E-01 -0.388E+01 -0.207E+00  0.512E+01  0.154E-03  0.264E-03  0.719E-02  0.454E-02
   12   0.700E-01 -0.317E+01 -0.159E+00  0.401E+01  0.896E-04  0.113E-03  0.484E-02  0.298E-02
   13   0.593E-01 -0.253E+01 -0.121E+00  0.310E+01  0.339E-04  0.491E-04  0.310E-02  0.188E-02
   14   0.486E-01 -0.198E+01 -0.910E-01  0.237E+01 -0.532E-05  0.220E-04  0.192E-02  0.115E-02
   15   0.387E-01 -0.153E+01 -0.681E-01  0.180E+01 -0.262E-04  0.103E-04  0.116E-02  0.687E-03
   16   0.300E-01 -0.118E+01 -0.505E-01  0.135E+01 -0.140E-05  0.432E-05  0.668E-03  0.397E-03
   17   0.231E-01 -0.895E+00 -0.374E-01  0.101E+01  0.220E-05  0.192E-05  0.382E-03  0.229E-03
   18   0.177E-01 -0.670E+00 -0.275E-01  0.752E+00 -0.367E-05  0.980E-06  0.217E-03  0.130E-03
   19   0.133E-01 -0.500E+00 -0.201E-01  0.557E+00 -0.242E-05  0.453E-06  0.120E-03  0.722E-04
   20   0.996E-02 -0.370E+00 -0.146E-01  0.411E+00 -0.159E-05  0.210E-06  0.654E-04  0.395E-04
   21   0.741E-02 -0.272E+00 -0.105E-01  0.303E+00 -0.124E-05  0.101E-06  0.354E-04  0.214E-04
   22   0.550E-02 -0.198E+00 -0.751E-02  0.224E+00 -0.118E-05  0.537E-07  0.190E-04  0.116E-04
   23   0.405E-02 -0.144E+00 -0.530E-02  0.166E+00 -0.120E-05  0.348E-07  0.102E-04  0.620E-05
   24   0.294E-02 -0.104E+00 -0.366E-02  0.124E+00 -0.121E-05  0.295E-07  0.536E-05  0.331E-05
   25   0.204E-02 -0.765E-01 -0.245E-02  0.927E-01 -0.122E-05  0.344E-07  0.279E-05  0.177E-05
   26   0.124E-02 -0.598E-01 -0.158E-02  0.686E-01 -0.367E-06  0.955E-08  0.119E-05  0.774E-06
   27   0.784E-03 -0.458E-01 -0.107E-02  0.496E-01  0.570E-10  0.105E-08  0.517E-06  0.340E-06
   28   0.565E-03 -0.328E-01 -0.758E-03  0.354E-01  0.570E-10  0.469E-09  0.266E-06  0.175E-06
   29   0.406E-03 -0.235E-01 -0.538E-03  0.252E-01  0.570E-10  0.209E-09  0.136E-06  0.893E-07
   30   0.291E-03 -0.168E-01 -0.382E-03  0.179E-01  0.570E-10  0.931E-10  0.691E-07  0.454E-07
   31   0.208E-03 -0.119E-01 -0.270E-03  0.127E-01  0.570E-10  0.413E-10  0.350E-07  0.230E-07
   32   0.148E-03 -0.849E-02 -0.191E-03  0.897E-02  0.570E-10  0.182E-10  0.176E-07  0.116E-07
   33   0.105E-03 -0.602E-02 -0.135E-03  0.633E-02  0.570E-10  0.785E-11  0.887E-08  0.583E-08
   34   0.748E-04 -0.426E-02 -0.951E-04  0.446E-02  0.446E-10  0.335E-11  0.444E-08  0.292E-08
   35   0.531E-04 -0.301E-02 -0.671E-04  0.314E-02  0.221E-10  0.147E-11  0.223E-08  0.146E-08
   36   0.377E-04 -0.212E-02 -0.473E-04  0.221E-02  0.103E-10  0.653E-12  0.111E-08  0.728E-09
   37   0.267E-04 -0.149E-02 -0.332E-04  0.155E-02  0.516E-11  0.286E-12  0.553E-09  0.362E-09
   38   0.189E-04 -0.105E-02 -0.234E-04  0.109E-02  0.198E-11  0.129E-12  0.275E-09  0.180E-09
   39   0.133E-04 -0.739E-03 -0.164E-04  0.765E-03  0.720E-12  0.583E-13  0.136E-09  0.891E-10
   40   0.939E-05 -0.519E-03 -0.115E-04  0.536E-03  0.000E+00  0.277E-13  0.675E-10  0.441E-10
   41   0.660E-05 -0.364E-03 -0.805E-05  0.376E-03  0.000E+00  0.223E-13  0.653E-10  0.427E-10
