                      RAYLEIGH WAVE      MODE #  0
        T = 0.9000E+01 C =    0.2398E+01 U   = 0.1287E+01
        AR= 0.7188E-05 GAMMA= 0.3305E-03 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1   0.994E+02  0.000E+00  0.100E+01  0.000E+00 -0.120E+01  0.580E-01  0.174E+01 -0.334E+00
    2   0.481E+02 -0.474E+02  0.173E+02 -0.156E+02 -0.324E+00  0.970E-01  0.478E+00  0.104E-01
    3   0.276E+02 -0.477E+02  0.220E+02 -0.510E+02 -0.153E+00  0.112E+00  0.638E-01  0.935E-02
    4   0.158E+02 -0.256E+02  0.223E+02 -0.866E+02 -0.989E-01  0.945E-01 -0.396E-01 -0.188E-02
    5   0.864E+01  0.407E+01  0.208E+02 -0.115E+03 -0.895E-01  0.716E-01 -0.360E-01  0.999E-03
    6   0.407E+01  0.283E+02  0.185E+02 -0.133E+03 -0.853E-01  0.566E-01 -0.613E-02  0.167E-01
    7   0.160E+01  0.468E+02  0.156E+02 -0.142E+03 -0.711E-01  0.422E-01  0.175E-01  0.279E-01
    8   0.534E+00  0.616E+02  0.128E+02 -0.144E+03 -0.354E-01  0.223E-01  0.230E-01  0.227E-01
    9  -0.257E+00  0.733E+02  0.108E+02 -0.139E+03 -0.107E-01  0.104E-01  0.238E-01  0.170E-01
   10  -0.997E+00  0.797E+02  0.938E+01 -0.130E+03 -0.285E-02  0.545E-02  0.257E-01  0.158E-01
   11  -0.151E+01  0.804E+02  0.814E+01 -0.118E+03  0.413E-03  0.282E-02  0.253E-01  0.145E-01
   12  -0.182E+01  0.766E+02  0.703E+01 -0.106E+03  0.198E-03  0.156E-02  0.238E-01  0.133E-01
   13  -0.193E+01  0.707E+02  0.603E+01 -0.932E+02 -0.103E-03  0.880E-03  0.208E-01  0.115E-01
   14  -0.191E+01  0.638E+02  0.513E+01 -0.814E+02 -0.402E-03  0.508E-03  0.173E-01  0.946E-02
   15  -0.180E+01  0.567E+02  0.433E+01 -0.704E+02 -0.619E-03  0.301E-03  0.138E-01  0.753E-02
   16  -0.164E+01  0.499E+02  0.363E+01 -0.605E+02 -0.276E-03  0.167E-03  0.105E-01  0.576E-02
   17  -0.148E+01  0.432E+02  0.303E+01 -0.516E+02 -0.209E-03  0.997E-04  0.792E-02  0.439E-02
   18  -0.131E+01  0.369E+02  0.251E+01 -0.438E+02 -0.348E-03  0.655E-04  0.589E-02  0.331E-02
   19  -0.114E+01  0.313E+02  0.207E+01 -0.371E+02 -0.309E-03  0.403E-04  0.426E-02  0.241E-02
   20  -0.980E+00  0.263E+02  0.169E+01 -0.314E+02 -0.276E-03  0.254E-04  0.303E-02  0.172E-02
   21  -0.837E+00  0.220E+02  0.137E+01 -0.265E+02 -0.257E-03  0.168E-04  0.213E-02  0.122E-02
   22  -0.707E+00  0.183E+02  0.109E+01 -0.224E+02 -0.253E-03  0.123E-04  0.149E-02  0.863E-03
   23  -0.589E+00  0.152E+02  0.867E+00 -0.189E+02 -0.255E-03  0.102E-04  0.103E-02  0.605E-03
   24  -0.477E+00  0.126E+02  0.676E+00 -0.159E+02 -0.256E-03  0.972E-05  0.701E-03  0.421E-03
   25  -0.369E+00  0.107E+02  0.518E+00 -0.134E+02 -0.257E-03  0.108E-04  0.472E-03  0.294E-03
   26  -0.257E+00  0.945E+01  0.390E+00 -0.111E+02 -0.915E-04  0.379E-05  0.260E-03  0.164E-03
   27  -0.190E+00  0.814E+01  0.304E+00 -0.907E+01  0.139E-06  0.706E-06  0.146E-03  0.921E-04
   28  -0.157E+00  0.666E+01  0.246E+00 -0.736E+01  0.139E-06  0.406E-06  0.974E-04  0.616E-04
   29  -0.129E+00  0.543E+01  0.198E+00 -0.595E+01  0.139E-06  0.232E-06  0.647E-04  0.410E-04
   30  -0.105E+00  0.442E+01  0.159E+00 -0.480E+01  0.139E-06  0.133E-06  0.428E-04  0.271E-04
   31  -0.859E-01  0.358E+01  0.128E+00 -0.387E+01  0.139E-06  0.757E-07  0.281E-04  0.178E-04
   32  -0.699E-01  0.290E+01  0.103E+00 -0.311E+01  0.139E-06  0.428E-07  0.184E-04  0.117E-04
   33  -0.567E-01  0.234E+01  0.825E-01 -0.250E+01  0.139E-06  0.239E-07  0.120E-04  0.760E-05
   34  -0.460E-01  0.189E+01  0.661E-01 -0.200E+01  0.120E-06  0.132E-07  0.779E-05  0.493E-05
   35  -0.372E-01  0.152E+01  0.530E-01 -0.160E+01  0.745E-07  0.752E-08  0.506E-05  0.320E-05
   36  -0.301E-01  0.122E+01  0.424E-01 -0.128E+01  0.436E-07  0.430E-08  0.327E-05  0.207E-05
   37  -0.243E-01  0.975E+00  0.338E-01 -0.102E+01  0.263E-07  0.245E-08  0.211E-05  0.133E-05
   38  -0.196E-01  0.780E+00  0.270E-01 -0.816E+00  0.124E-07  0.142E-08  0.136E-05  0.857E-06
   39  -0.157E-01  0.624E+00  0.215E-01 -0.651E+00  0.528E-08  0.832E-09  0.871E-06  0.549E-06
   40  -0.126E-01  0.498E+00  0.171E-01 -0.519E+00  0.000E+00  0.502E-09  0.558E-06  0.351E-06
   41  -0.101E-01  0.398E+00  0.136E-01 -0.413E+00  0.000E+00  0.680E-09  0.972E-06  0.613E-06
