                      RAYLEIGH WAVE      MODE #  0
        T = 0.4000E+01 C =    0.1039E+01 U   = 0.3048E+00
        AR= 0.1354E+01 GAMMA= 0.4132E-02 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1  -0.121E-01  0.000E+00  0.100E+01  0.000E+00 -0.238E+01  0.129E+00  0.395E+01 -0.246E+00
    2  -0.137E+00  0.133E+01  0.236E+00 -0.185E+01 -0.125E+00  0.674E-02  0.679E+00  0.149E+00
    3  -0.400E-01  0.847E+00  0.590E-01 -0.107E+01 -0.938E-02  0.622E-03  0.693E-01  0.237E-01
    4  -0.946E-02  0.371E+00  0.139E-01 -0.434E+00 -0.266E-03  0.301E-04  0.508E-02  0.225E-02
    5  -0.272E-02  0.127E+00  0.381E-02 -0.143E+00 -0.911E-05  0.160E-05  0.435E-03  0.208E-03
    6  -0.809E-03  0.389E-01  0.106E-02 -0.436E-01 -0.186E-05  0.125E-06  0.371E-04  0.182E-04
    7  -0.213E-03  0.117E-01  0.263E-03 -0.133E-01 -0.276E-06  0.125E-07  0.267E-05  0.141E-05
    8  -0.454E-04  0.363E-02  0.555E-04 -0.408E-02 -0.144E-07  0.617E-09  0.147E-06  0.878E-07
    9  -0.975E-05  0.108E-02  0.120E-04 -0.119E-02 -0.355E-09  0.214E-10  0.811E-08  0.528E-08
   10  -0.239E-05  0.298E-03  0.292E-05 -0.323E-03 -0.102E-10  0.954E-12  0.516E-09  0.345E-09
   11  -0.606E-06  0.797E-04  0.730E-06 -0.850E-04  0.851E-13  0.403E-13  0.337E-10  0.227E-10
   12  -0.158E-06  0.206E-04  0.187E-06 -0.218E-04  0.686E-14  0.194E-14  0.226E-11  0.150E-11
   13  -0.410E-07  0.525E-05  0.477E-07 -0.552E-05  0.476E-15  0.932E-16  0.149E-12  0.976E-13
   14  -0.105E-07  0.133E-05  0.121E-07 -0.139E-05  0.219E-16  0.455E-17  0.962E-14  0.624E-14
   15  -0.267E-08  0.334E-06  0.302E-08 -0.348E-06 -0.328E-17  0.248E-18  0.613E-15  0.394E-15
   16  -0.663E-09  0.840E-07  0.745E-09 -0.872E-07 -0.390E-19  0.119E-19  0.379E-16  0.243E-16
   17  -0.165E-09  0.209E-07  0.184E-09 -0.216E-07  0.872E-20  0.568E-21  0.232E-17  0.151E-17
   18  -0.411E-10  0.515E-08  0.456E-10 -0.532E-08 -0.220E-21  0.322E-22  0.143E-18  0.926E-19
   19  -0.101E-10  0.127E-08  0.112E-10 -0.131E-08 -0.155E-22  0.166E-23  0.859E-20  0.558E-20
   20  -0.247E-11  0.312E-09  0.271E-11 -0.320E-09 -0.708E-24  0.840E-25  0.513E-21  0.333E-21
   21  -0.602E-12  0.762E-10  0.659E-12 -0.781E-10 -0.120E-25  0.417E-26  0.305E-22  0.198E-22
   22  -0.147E-12  0.186E-10  0.160E-12 -0.190E-10  0.431E-27  0.208E-27  0.180E-23  0.117E-23
   23  -0.357E-13  0.451E-11  0.387E-13 -0.460E-11 -0.396E-30  0.106E-28  0.106E-24  0.689E-25
   24  -0.866E-14  0.109E-11  0.935E-14 -0.111E-11 -0.257E-28  0.609E-30  0.622E-26  0.403E-26
   25  -0.211E-14  0.261E-12  0.221E-14 -0.273E-12 -0.287E-28  0.218E-30  0.363E-27  0.235E-27
   26  -0.429E-15  0.677E-13  0.451E-15 -0.707E-13 -0.133E-29  0.945E-32  0.175E-28  0.117E-28
   27  -0.874E-16  0.174E-13  0.941E-16 -0.178E-13  0.000E+00  0.948E-34  0.842E-30  0.580E-30
   28  -0.209E-16  0.416E-14  0.224E-16 -0.425E-14  0.000E+00  0.476E-35  0.478E-31  0.329E-31
   29  -0.497E-17  0.990E-15  0.532E-17 -0.101E-14  0.000E+00  0.000E+00  0.271E-32  0.186E-32
   30  -0.118E-17  0.235E-15  0.126E-17 -0.239E-15  0.000E+00  0.000E+00  0.152E-33  0.105E-33
   31  -0.280E-18  0.557E-16  0.298E-18 -0.567E-16  0.000E+00  0.000E+00  0.857E-35  0.590E-35
   32  -0.663E-19  0.132E-16  0.706E-19 -0.134E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   33  -0.157E-19  0.312E-17  0.167E-19 -0.317E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   34  -0.371E-20  0.737E-18  0.393E-20 -0.747E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   35  -0.876E-21  0.174E-18  0.928E-21 -0.176E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   36  -0.207E-21  0.408E-19  0.219E-21 -0.414E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   37  -0.488E-22  0.960E-20  0.516E-22 -0.972E-20  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   38  -0.115E-22  0.225E-20  0.121E-22 -0.228E-20  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   39  -0.271E-23  0.529E-21  0.286E-23 -0.535E-21  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   40  -0.638E-24  0.124E-21  0.671E-24 -0.125E-21  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41  -0.150E-24  0.291E-22  0.157E-24 -0.294E-22  0.000E+00  0.000E+00  0.000E+00  0.000E+00
