                      RAYLEIGH WAVE      MODE #  0
        T = 0.4750E+01 C =    0.1355E+01 U   = 0.7230E+00
        AR= 0.2054E+00 GAMMA= 0.1489E-02 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1  -0.118E+01  0.000E+00  0.100E+01  0.000E+00 -0.117E+01  0.356E-01  0.355E+01 -0.934E-01
    2  -0.312E+00  0.143E+01  0.783E-01 -0.627E+00 -0.195E-01  0.112E-01  0.258E+00  0.625E-01
    3  -0.590E-01  0.463E+00 -0.333E-01  0.184E+00 -0.132E-02  0.344E-02  0.295E-02  0.256E-02
    4  -0.581E-02 -0.914E-01 -0.311E-01  0.452E+00 -0.558E-03  0.695E-03  0.870E-03  0.644E-03
    5   0.404E-02 -0.218E+00 -0.193E-01  0.384E+00 -0.182E-03  0.121E-03  0.122E-02  0.597E-03
    6   0.445E-02 -0.169E+00 -0.103E-01  0.253E+00 -0.114E-03  0.259E-04  0.579E-03  0.285E-03
    7   0.267E-02 -0.106E+00 -0.472E-02  0.152E+00 -0.489E-04  0.643E-05  0.171E-03  0.915E-04
    8   0.112E-02 -0.641E-01 -0.185E-02  0.857E-01 -0.824E-05  0.929E-06  0.340E-04  0.205E-04
    9   0.457E-03 -0.359E-01 -0.745E-03  0.448E-01 -0.678E-06  0.101E-06  0.646E-05  0.420E-05
   10   0.211E-03 -0.184E-01 -0.325E-03  0.218E-01 -0.584E-07  0.131E-07  0.137E-05  0.911E-06
   11   0.984E-04 -0.889E-02 -0.145E-03  0.102E-01  0.192E-08  0.162E-08  0.291E-06  0.193E-06
   12   0.467E-04 -0.411E-02 -0.651E-04  0.459E-02  0.467E-09  0.227E-09  0.620E-07  0.406E-07
   13   0.216E-04 -0.186E-02 -0.289E-04  0.205E-02  0.915E-10  0.319E-10  0.127E-07  0.822E-08
   14   0.981E-05 -0.826E-03 -0.127E-04  0.900E-03  0.850E-11  0.461E-11  0.254E-08  0.162E-08
   15   0.438E-05 -0.363E-03 -0.552E-05  0.393E-03 -0.562E-11  0.738E-12  0.494E-09  0.312E-09
   16   0.190E-05 -0.159E-03 -0.236E-05  0.171E-03 -0.122E-12  0.101E-12  0.927E-10  0.586E-10
   17   0.826E-06 -0.692E-04 -0.101E-05  0.733E-04  0.126E-12  0.141E-13  0.172E-10  0.110E-10
   18   0.359E-06 -0.296E-04 -0.432E-06  0.312E-04 -0.119E-13  0.239E-14  0.317E-11  0.203E-11
   19   0.153E-06 -0.126E-04 -0.182E-06  0.133E-04 -0.236E-14  0.359E-15  0.573E-12  0.366E-12
   20   0.648E-07 -0.536E-05 -0.765E-07  0.560E-05 -0.305E-15  0.529E-16  0.102E-12  0.654E-13
   21   0.273E-07 -0.226E-05 -0.320E-07  0.236E-05 -0.164E-16  0.764E-17  0.181E-13  0.116E-13
   22   0.115E-07 -0.952E-06 -0.134E-07  0.988E-06 -0.102E-17  0.112E-17  0.319E-14  0.204E-14
   23   0.484E-08 -0.398E-06 -0.556E-08  0.413E-06 -0.263E-17  0.177E-18  0.558E-15  0.357E-15
   24   0.203E-08 -0.165E-06 -0.229E-08  0.174E-06 -0.291E-17  0.405E-19  0.972E-16  0.621E-16
   25   0.847E-09 -0.678E-07 -0.906E-09  0.745E-07 -0.300E-17  0.363E-19  0.168E-16  0.108E-16
   26   0.295E-09 -0.304E-07 -0.320E-09  0.328E-07 -0.376E-18  0.410E-20  0.238E-17  0.158E-17
   27   0.104E-09 -0.135E-07 -0.117E-09  0.140E-07  0.862E-26  0.107E-21  0.338E-18  0.230E-18
   28   0.425E-10 -0.553E-08 -0.479E-10  0.572E-08  0.862E-26  0.156E-22  0.566E-19  0.386E-19
   29   0.174E-10 -0.226E-08 -0.195E-10  0.233E-08  0.862E-26  0.229E-23  0.945E-20  0.644E-20
   30   0.710E-11 -0.922E-09 -0.794E-11  0.949E-09  0.862E-26  0.336E-24  0.157E-20  0.107E-20
   31   0.290E-11 -0.375E-09 -0.322E-11  0.386E-09  0.862E-26  0.492E-25  0.260E-21  0.177E-21
   32   0.118E-11 -0.153E-09 -0.131E-11  0.156E-09  0.862E-26  0.718E-26  0.428E-22  0.292E-22
   33   0.478E-12 -0.619E-10 -0.529E-12  0.634E-10  0.862E-26  0.103E-26  0.704E-23  0.480E-23
   34   0.194E-12 -0.251E-10 -0.214E-12  0.256E-10  0.362E-26  0.143E-27  0.116E-23  0.787E-24
   35   0.787E-13 -0.101E-10 -0.866E-13  0.103E-10  0.605E-27  0.207E-28  0.189E-24  0.129E-24
   36   0.319E-13 -0.409E-11 -0.350E-13  0.417E-11  0.903E-28  0.301E-29  0.310E-25  0.210E-25
   37   0.129E-13 -0.165E-11 -0.141E-13  0.168E-11  0.172E-28  0.430E-30  0.505E-26  0.343E-26
   38   0.522E-14 -0.663E-12 -0.570E-14  0.675E-12  0.230E-29  0.632E-31  0.823E-27  0.558E-27
   39   0.211E-14 -0.267E-12 -0.230E-14  0.271E-12  0.361E-30  0.915E-32  0.134E-27  0.906E-28
   40   0.850E-15 -0.107E-12 -0.925E-15  0.109E-12  0.000E+00  0.145E-32  0.217E-28  0.147E-28
   41   0.342E-15 -0.431E-13 -0.371E-15  0.438E-13  0.000E+00  0.249E-33  0.418E-29  0.283E-29
