  
 Model:
  LAYER     H(km)     Vp(km/s)    Vs(km/sec)  Density     QA(inv)     QB(inv)
    2   0.426E-01 -0.842E+00 -0.479E-07  0.154E-02  0.376E-03
    3   0.671E-04 -0.295E-02 -0.860E-13  0.558E-08  0.197E-08
    4   0.772E-07 -0.612E-05 -0.473E-19  0.996E-14  0.450E-14
    5   0.941E-10 -0.898E-08 -0.252E-25  0.163E-19  0.793E-20
    6   0.118E-12 -0.119E-10 -0.110E-30  0.263E-25  0.131E-25
    7   0.138E-15 -0.164E-13  0.000E+00  0.394E-31  0.209E-31
    8   0.140E-18 -0.241E-16  0.000E+00  0.000E+00  0.000E+00
    9   0.139E-21 -0.329E-19  0.000E+00  0.000E+00  0.000E+00
   10   0.149E-24 -0.400E-22  0.000E+00  0.000E+00  0.000E+00
   11   0.165E-27 -0.466E-25  0.000E+00  0.000E+00  0.000E+00
   12   0.187E-30 -0.525E-28  0.000E+00  0.000E+00  0.000E+00
   13   0.212E-33 -0.591E-31  0.000E+00  0.000E+00  0.000E+00
   14   0.000E+00 -0.667E-34  0.000E+00  0.000E+00  0.000E+00
   15   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   16   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   17   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   18   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   19   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   20   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   21   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   22   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   23   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   24   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   25   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   26   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   27   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   28   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   29   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   30   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   31   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   32   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   33   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   34   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   35   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   36   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   37   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   38   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   39   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   40   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00


                   LOVE WAVE        MODE #  0
        T = 0.1750E+01 C =    0.6147E+00 U   = 0.5771E+00
        AL= 0.1750E+01 GAMMA= 0.5185E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.403E-01  0.110E+01 -0.849E-03
    2   0.500E-01 -0.838E+00 -0.409E-06  0.250E-02  0.609E-03
    3   0.196E-03 -0.732E-02 -0.514E-11  0.562E-07  0.198E-07
    4   0.596E-06 -0.401E-04 -0.208E-16  0.701E-12  0.316E-12
    5   0.197E-08 -0.160E-06 -0.824E-22  0.843E-17  0.410E-17
    6   0.672E-11 -0.578E-09 -0.268E-26  0.101E-21  0.505E-22
    7   0.215E-13 -0.217E-11 -0.717E-31  0.113E-26  0.599E-27
    8   0.597E-16 -0.875E-14  0.000E+00  0.107E-31  0.639E-32
    9   0.164E-18 -0.330E-16  0.000E+00  0.000E+00  0.000E+00
   10   0.488E-21 -0.111E-18  0.000E+00  0.000E+00  0.000E+00
   11   0.149E-23 -0.359E-21  0.000E+00  0.000E+00  0.000E+00
   12   0.470E-26 -0.112E-23  0.000E+00  0.000E+00  0.000E+00
   13   0.148E-28 -0.351E-26  0.000E+00  0.000E+00  0.000E+00
   14   0.467E-31 -0.110E-28  0.000E+00  0.000E+00  0.000E+00
   15   0.148E-33 -0.344E-31  0.000E+00  0.000E+00  0.000E+00
   16   0.000E+00 -0.109E-33  0.000E+00  0.000E+00  0.000E+00
   17   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   18   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   19   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   20   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   21   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   22   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   23   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   24   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   25   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   26   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   27   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   28   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   29   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   30   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   31   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   32   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   33   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   34   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   35   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   36   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   37   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   38   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   39   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   40   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00


                   LOVE WAVE        MODE #  0
        T = 0.2000E+01 C =    0.6208E+00 U   = 0.5720E+00
        AL= 0.1739E+01 GAMMA= 0.4577E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.533E-01  0.113E+01 -0.130E-02
    2   0.577E-01 -0.833E+00 -0.216E-05  0.384E-02  0.934E-03
    3   0.450E-03 -0.145E-01 -0.119E-09  0.343E-06  0.121E-06
    4   0.286E-05 -0.167E-03 -0.218E-14  0.187E-10  0.843E-11
    5   0.201E-07 -0.141E-05 -0.393E-19  0.102E-14  0.495E-15
    6   0.147E-09 -0.109E-07 -0.584E-23  0.558E-19  0.278E-19
    7   0.100E-11 -0.878E-10 -0.719E-27  0.285E-23  0.151E-23
    8   0.597E-14 -0.758E-12 -0.295E-31  0.124E-27  0.740E-28
    9   0.353E-16 -0.616E-14  0.000E+00  0.519E-32  0.339E-32
   10   0.227E-18 -0.448E-16  0.000E+00  0.000E+00  0.000E+00
   11   0.151E-20 -0.313E-18  0.000E+00  0.000E+00  0.000E+00
   12   0.103E-22 -0.212E-20  0.000E+00  0.000E+00  0.000E+00
   13   0.700E-25 -0.144E-22  0.000E+00  0.000E+00  0.000E+00
   14   0.478E-27 -0.972E-25  0.000E+00  0.000E+00  0.000E+00
   15   0.327E-29 -0.659E-27  0.000E+00  0.000E+00  0.000E+00
   16   0.221E-31 -0.453E-29  0.000E+00  0.000E+00  0.000E+00
   17   0.150E-33 -0.309E-31  0.000E+00  0.000E+00  0.000E+00
   18   0.103E-35 -0.209E-33  0.000E+00  0.000E+00  0.000E+00
   19   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   20   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   21   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   22   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   23   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   24   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   25   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   26   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   27   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   28   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   29   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   30   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   31   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   32   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   33   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   34   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   35   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   36   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   37   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   38   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   39   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   40   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00


                   LOVE WAVE        MODE #  0
        T = 0.2250E+01 C =    0.6279E+00 U   = 0.5663E+00
        AL= 0.1727E+01 GAMMA= 0.4109E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.686E-01  0.116E+01 -0.191E-02
    2   0.655E-01 -0.828E+00 -0.828E-05  0.566E-02  0.137E-02
    3   0.881E-03 -0.250E-01 -0.145E-08  0.150E-05  0.527E-06
    4   0.998E-05 -0.511E-03 -0.870E-13  0.260E-09  0.117E-09
    5   0.127E-06 -0.782E-05 -0.518E-17  0.464E-13  0.225E-13
    6   0.168E-08 -0.110E-06 -0.254E-20  0.838E-17  0.417E-17
    7   0.209E-10 -0.161E-08 -0.104E-23  0.141E-20  0.748E-21
    8   0.226E-12 -0.252E-10 -0.142E-27  0.203E-24  0.122E-24
    9   0.245E-14 -0.375E-12 -0.845E-32  0.285E-28  0.186E-28
   10   0.289E-16 -0.500E-14  0.000E+00  0.426E-32  0.286E-32
   11   0.351E-18 -0.641E-16  0.000E+00  0.000E+00  0.000E+00
   12   0.438E-20 -0.796E-18  0.000E+00  0.000E+00  0.000E+00
   13   0.548E-22 -0.988E-20  0.000E+00  0.000E+00  0.000E+00
   14   0.686E-24 -0.123E-21  0.000E+00  0.000E+00  0.000E+00
   15   0.860E-26 -0.152E-23  0.000E+00  0.000E+00  0.000E+00
   16   0.107E-27 -0.192E-25  0.000E+00  0.000E+00  0.000E+00
   17   0.133E-29 -0.240E-27  0.000E+00  0.000E+00  0.000E+00
   18   0.167E-31 -0.298E-29  0.000E+00  0.000E+00  0.000E+00
   19   0.207E-33 -0.372E-31  0.000E+00  0.000E+00  0.000E+00
   20   0.258E-35 -0.466E-33  0.000E+00  0.000E+00  0.000E+00
   21   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   22   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   23   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   24   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   25   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   26   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   27   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   28   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   29   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   30   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   31   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   32   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   33   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   34   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   35   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   36   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   37   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   38   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
