                   LOVE WAVE        MODE #  0
        T = 0.5750E+01 C =    0.8789E+00 U   = 0.4658E+00
        AL= 0.1295E+01 GAMMA= 0.1955E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.748E+00  0.228E+01 -0.746E-01
    2   0.215E+00 -0.729E+00 -0.332E-01  0.218E+00  0.461E-01
    3   0.526E-01 -0.414E+00 -0.255E-02  0.190E-01  0.629E-02
    4   0.129E-01 -0.180E+00 -0.803E-04  0.150E-02  0.647E-03
    5   0.375E-02 -0.627E-01 -0.323E-05  0.138E-03  0.647E-04
    6   0.113E-02 -0.204E-01 -0.791E-06  0.132E-04  0.637E-05
    7   0.322E-03 -0.697E-02 -0.152E-06  0.119E-05  0.612E-06
    8   0.810E-04 -0.255E-02 -0.112E-07  0.918E-07  0.539E-07
    9   0.209E-04 -0.889E-03 -0.380E-09  0.716E-08  0.461E-08
   10   0.589E-05 -0.282E-03 -0.145E-10  0.611E-09  0.404E-09
   11   0.172E-05 -0.865E-04  0.172E-12  0.535E-10  0.357E-10
   12   0.515E-06 -0.258E-04  0.187E-13  0.481E-11  0.317E-11
   13   0.155E-06 -0.767E-05  0.177E-14  0.432E-12  0.281E-12
   14   0.464E-07 -0.228E-05  0.106E-15  0.389E-13  0.250E-13
   15   0.139E-07 -0.681E-06 -0.241E-16  0.350E-14  0.223E-14
   16   0.414E-08 -0.205E-06 -0.380E-18  0.312E-15  0.199E-15
   17   0.124E-08 -0.615E-07  0.133E-18  0.278E-16  0.179E-16
   18   0.372E-09 -0.183E-07 -0.523E-20  0.249E-17  0.160E-17
   19   0.111E-09 -0.548E-08 -0.542E-21  0.223E-18  0.143E-18
   20   0.331E-10 -0.164E-08 -0.366E-22  0.199E-19  0.128E-19
   21   0.987E-11 -0.493E-09 -0.920E-24  0.178E-20  0.114E-20
   22   0.295E-11 -0.147E-09  0.435E-25  0.159E-21  0.102E-21
   23   0.883E-12 -0.441E-10 -0.759E-26  0.142E-22  0.914E-23
   24   0.264E-12 -0.132E-10 -0.122E-25  0.127E-23  0.817E-24
   25   0.781E-13 -0.398E-11 -0.130E-25  0.114E-24  0.731E-25
   26   0.205E-13 -0.133E-11 -0.973E-27  0.911E-26  0.606E-26
   27   0.548E-14 -0.436E-12  0.000E+00  0.731E-27  0.500E-27
   28   0.162E-14 -0.129E-12  0.000E+00  0.641E-28  0.439E-28
   29   0.481E-15 -0.382E-13  0.000E+00  0.562E-29  0.385E-29
   30   0.142E-15 -0.113E-13  0.000E+00  0.492E-30  0.337E-30
   31   0.421E-16 -0.335E-14  0.000E+00  0.432E-31  0.296E-31
   32   0.125E-16 -0.992E-15  0.000E+00  0.378E-32  0.259E-32
   33   0.369E-17 -0.294E-15  0.000E+00  0.332E-33  0.227E-33
   34   0.109E-17 -0.869E-16  0.000E+00  0.291E-34  0.199E-34
   35   0.325E-18 -0.257E-16  0.000E+00  0.256E-35  0.175E-35
   36   0.963E-19 -0.759E-17  0.000E+00  0.000E+00  0.000E+00
   37   0.286E-19 -0.225E-17  0.000E+00  0.000E+00  0.000E+00
   38   0.847E-20 -0.664E-18  0.000E+00  0.000E+00  0.000E+00
   39   0.251E-20 -0.196E-18  0.000E+00  0.000E+00  0.000E+00
   40   0.746E-21 -0.580E-19  0.000E+00  0.000E+00  0.000E+00
   41   0.221E-21 -0.172E-19  0.000E+00  0.000E+00  0.000E+00
