                      RAYLEIGH WAVE      MODE #  0
        T = 0.2500E+01 C =    0.6003E+00 U   = 0.4656E+00
        AR= 0.1705E+01 GAMMA= 0.4399E-02 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1   0.537E+00  0.000E+00  0.100E+01  0.000E+00 -0.174E+00  0.179E-01  0.122E+01 -0.538E-02
    2  -0.412E-01  0.123E+01  0.633E-01 -0.146E+01 -0.669E-04  0.322E-04  0.147E-01  0.385E-02
    3  -0.113E-02  0.678E-01  0.145E-02 -0.752E-01 -0.318E-07  0.185E-07  0.130E-04  0.474E-05
    4  -0.216E-04  0.227E-02  0.263E-04 -0.245E-02 -0.485E-11  0.737E-11  0.602E-08  0.277E-08
    5  -0.456E-06  0.567E-04  0.531E-06 -0.600E-04 -0.695E-15  0.216E-14  0.281E-11  0.139E-11
    6  -0.954E-08  0.125E-05  0.108E-07 -0.130E-05 -0.750E-18  0.577E-18  0.123E-14  0.623E-15
    7  -0.176E-09  0.267E-07  0.195E-09 -0.277E-07 -0.611E-21  0.168E-21  0.445E-18  0.239E-18
    8  -0.264E-11  0.579E-09  0.292E-11 -0.601E-09 -0.163E-24  0.481E-25  0.123E-21  0.743E-22
    9  -0.402E-13  0.120E-10  0.441E-13 -0.125E-10 -0.197E-28  0.125E-28  0.338E-25  0.223E-25
   10  -0.690E-15  0.233E-12  0.750E-15 -0.240E-12 -0.287E-32  0.312E-32  0.106E-28  0.719E-29
   11  -0.122E-16  0.432E-14  0.131E-16 -0.445E-14  0.000E+00  0.000E+00  0.339E-32  0.231E-32
   12  -0.220E-18  0.775E-16  0.235E-18 -0.795E-16  0.000E+00  0.000E+00  0.110E-35  0.000E+00
   13  -0.394E-20  0.137E-17  0.418E-20 -0.140E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   14  -0.697E-22  0.240E-19  0.734E-22 -0.245E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   15  -0.122E-23  0.417E-21  0.128E-23 -0.424E-21  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   16  -0.209E-25  0.724E-23  0.218E-25 -0.735E-23  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   17  -0.357E-27  0.124E-24  0.373E-27 -0.126E-24  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   18  -0.614E-29  0.211E-26  0.638E-29 -0.214E-26  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   19  -0.104E-30  0.358E-28  0.108E-30 -0.362E-28  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   20  -0.174E-32  0.605E-30  0.181E-32 -0.611E-30  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   21  -0.292E-34  0.102E-31  0.302E-34 -0.103E-31  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   22   0.000E+00  0.170E-33  0.000E+00 -0.172E-33  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   23   0.000E+00  0.284E-35  0.000E+00 -0.287E-35  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   24   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   25   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   26   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   27   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   28   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   29   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   30   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   31   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   32   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   33   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   34   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   35   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   36   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   37   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   38   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   39   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   40   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
