                      RAYLEIGH WAVE      MODE #  0
        T = 0.2000E+01 C =    0.5761E+00 U   = 0.5190E+00
        AR= 0.1726E+01 GAMMA= 0.4955E-02 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1   0.568E+00  0.000E+00  0.100E+01  0.000E+00 -0.637E-01  0.120E-01  0.103E+01 -0.144E-02
    2  -0.258E-01  0.989E+00  0.368E-01 -0.113E+01 -0.232E-05  0.514E-05  0.390E-02  0.103E-02
    3  -0.216E-03  0.167E-01  0.265E-03 -0.181E-01 -0.959E-10  0.276E-09  0.336E-06  0.123E-06
    4  -0.122E-05  0.165E-03  0.142E-05 -0.174E-03 -0.122E-14  0.976E-14  0.136E-10  0.629E-11
    5  -0.741E-08  0.119E-05  0.835E-08 -0.124E-05 -0.144E-19  0.237E-18  0.534E-15  0.265E-15
    6  -0.445E-10  0.751E-08  0.490E-10 -0.776E-08 -0.129E-23  0.510E-23  0.194E-19  0.983E-20
    7  -0.235E-12  0.462E-10  0.255E-12 -0.475E-10 -0.861E-28  0.119E-27  0.580E-24  0.312E-24
    8  -0.101E-14  0.287E-12  0.109E-14 -0.295E-12 -0.187E-32  0.289E-32  0.132E-28  0.796E-29
    9  -0.439E-17  0.170E-14  0.472E-17 -0.175E-14  0.000E+00  0.000E+00  0.295E-33  0.195E-33
   10  -0.214E-19  0.937E-17  0.229E-19 -0.960E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   11  -0.107E-21  0.495E-19  0.114E-21 -0.506E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   12  -0.552E-24  0.252E-21  0.581E-24 -0.257E-21  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   13  -0.280E-26  0.127E-23  0.293E-26 -0.129E-23  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   14  -0.141E-28  0.629E-26  0.146E-28 -0.639E-26  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   15  -0.698E-31  0.310E-28  0.725E-31 -0.314E-28  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   16  -0.339E-33  0.153E-30  0.351E-33 -0.155E-30  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   17  -0.165E-35  0.745E-33  0.170E-35 -0.753E-33  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   18   0.000E+00  0.359E-35  0.000E+00 -0.363E-35  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   19   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   20   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   21   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   22   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   23   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   24   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   25   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   26   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   27   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   28   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   29   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   30   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   31   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   32   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   33   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   34   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   35   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   36   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   37   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   38   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   39   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   40   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
