                      RAYLEIGH WAVE      MODE #  0
        T = 0.5500E+01 C =    0.1520E+01 U   = 0.8599E+00
        AR= 0.5448E-01 GAMMA= 0.1026E-02 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1  -0.240E+01  0.000E+00  0.100E+01  0.000E+00 -0.110E+01  0.769E-01  0.335E+01 -0.115E+00
    2  -0.617E+00  0.195E+01 -0.115E+00  0.129E+00 -0.354E-01  0.427E-01  0.219E+00  0.558E-01
    3  -0.133E+00  0.449E+00 -0.220E+00  0.152E+01 -0.174E-01  0.195E-01 -0.429E-02  0.423E-02
    4  -0.975E-02 -0.660E+00 -0.169E+00  0.198E+01 -0.746E-02  0.570E-02  0.117E-01  0.626E-02
    5   0.243E-01 -0.979E+00 -0.114E+00  0.177E+01 -0.357E-02  0.157E-02  0.137E-01  0.645E-02
    6   0.283E-01 -0.845E+00 -0.702E-01  0.136E+01 -0.268E-02  0.559E-03  0.858E-02  0.422E-02
    7   0.199E-01 -0.638E+00 -0.380E-01  0.981E+00 -0.146E-02  0.213E-03  0.363E-02  0.197E-02
    8   0.101E-01 -0.469E+00 -0.184E-01  0.664E+00 -0.352E-03  0.456E-04  0.107E-02  0.650E-03
    9   0.509E-02 -0.323E+00 -0.922E-02  0.419E+00 -0.436E-04  0.739E-05  0.307E-03  0.199E-03
   10   0.292E-02 -0.204E+00 -0.500E-02  0.250E+00 -0.539E-05  0.147E-05  0.999E-04  0.658E-04
   11   0.171E-02 -0.123E+00 -0.276E-02  0.144E+00  0.329E-06  0.279E-06  0.327E-04  0.215E-04
   12   0.101E-02 -0.703E-01 -0.153E-02  0.805E-01  0.117E-06  0.611E-07  0.108E-04  0.697E-05
   13   0.585E-03 -0.396E-01 -0.845E-03  0.445E-01  0.323E-07  0.135E-07  0.343E-05  0.219E-05
   14   0.332E-03 -0.220E-01 -0.461E-03  0.244E-01  0.299E-08  0.308E-08  0.106E-05  0.671E-06
   15   0.186E-03 -0.120E-01 -0.249E-03  0.133E-01 -0.478E-08  0.770E-09  0.322E-06  0.201E-06
   16   0.101E-03 -0.660E-02 -0.133E-03  0.717E-02 -0.918E-10  0.164E-09  0.939E-07  0.587E-07
   17   0.547E-04 -0.357E-02 -0.707E-04  0.383E-02  0.242E-09  0.359E-10  0.271E-07  0.171E-07
   18   0.297E-04 -0.191E-02 -0.376E-04  0.204E-02 -0.438E-10  0.957E-11  0.781E-08  0.494E-08
   19   0.158E-04 -0.102E-02 -0.198E-04  0.108E-02 -0.130E-10  0.225E-11  0.220E-08  0.139E-08
   20   0.837E-05 -0.539E-03 -0.103E-04  0.569E-03 -0.265E-11  0.518E-12  0.612E-09  0.387E-09
   21   0.442E-05 -0.284E-03 -0.540E-05  0.299E-03 -0.378E-12  0.117E-12  0.169E-09  0.107E-09
   22   0.233E-05 -0.149E-03 -0.281E-05  0.157E-03 -0.190E-12  0.277E-13  0.465E-10  0.294E-10
   23   0.122E-05 -0.776E-04 -0.145E-05  0.821E-04 -0.221E-12  0.757E-14  0.127E-10  0.803E-11
   24   0.643E-06 -0.401E-04 -0.738E-06  0.434E-04 -0.229E-12  0.324E-14  0.345E-11  0.218E-11
   25   0.332E-06 -0.207E-04 -0.359E-06  0.234E-04 -0.234E-12  0.362E-14  0.926E-12  0.592E-12
   26   0.144E-06 -0.116E-04 -0.160E-06  0.128E-04 -0.426E-13  0.587E-15  0.204E-12  0.135E-12
   27   0.635E-07 -0.642E-05 -0.746E-07  0.672E-05  0.294E-19  0.240E-16  0.453E-13  0.307E-13
   28   0.326E-07 -0.329E-05 -0.381E-07  0.343E-05  0.294E-19  0.551E-17  0.119E-13  0.803E-14
   29   0.167E-07 -0.168E-05 -0.194E-07  0.175E-05  0.294E-19  0.126E-17  0.310E-14  0.210E-14
   30   0.853E-08 -0.858E-06 -0.985E-08  0.890E-06  0.294E-19  0.290E-18  0.804E-15  0.544E-15
   31   0.435E-08 -0.437E-06 -0.499E-08  0.452E-06  0.294E-19  0.664E-19  0.208E-15  0.141E-15
   32   0.221E-08 -0.222E-06 -0.253E-08  0.229E-06  0.294E-19  0.151E-19  0.537E-16  0.363E-16
   33   0.112E-08 -0.113E-06 -0.128E-08  0.116E-06  0.294E-19  0.338E-20  0.138E-16  0.933E-17
   34   0.570E-09 -0.570E-07 -0.647E-09  0.586E-07  0.165E-19  0.734E-21  0.354E-17  0.239E-17
   35   0.289E-09 -0.288E-07 -0.327E-09  0.295E-07  0.427E-20  0.166E-21  0.906E-18  0.612E-18
   36   0.146E-09 -0.145E-07 -0.165E-09  0.149E-07  0.101E-20  0.378E-22  0.232E-18  0.156E-18
   37   0.741E-10 -0.732E-08 -0.834E-10  0.749E-08  0.291E-21  0.844E-23  0.591E-19  0.398E-19
   38   0.375E-10 -0.369E-08 -0.421E-10  0.377E-08  0.605E-22  0.195E-23  0.150E-19  0.101E-19
   39   0.189E-10 -0.185E-08 -0.212E-10  0.189E-08  0.137E-22  0.444E-24  0.382E-20  0.257E-20
   40   0.955E-11 -0.931E-09 -0.107E-10  0.951E-09  0.000E+00  0.110E-24  0.969E-21  0.651E-21
   41   0.481E-11 -0.468E-09 -0.535E-11  0.477E-09  0.000E+00  0.329E-25  0.327E-21  0.220E-21
