                   LOVE WAVE        MODE #  0
        T = 0.9250E+01 C =    0.1749E+01 U   = 0.6494E+00
        AL= 0.2662E+00 GAMMA= 0.8716E-03 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.198E+01  0.264E+01 -0.497E+00
    2   0.477E+00 -0.521E+00 -0.615E+00  0.988E+00  0.611E-01
    3   0.287E+00 -0.717E+00 -0.242E+00  0.481E+00  0.101E+00
    4   0.182E+00 -0.724E+00 -0.649E-01  0.222E+00  0.702E-01
    5   0.126E+00 -0.618E+00 -0.318E-01  0.119E+00  0.433E-01
    6   0.870E-01 -0.508E+00 -0.258E-01  0.648E-01  0.259E-01
    7   0.564E-01 -0.426E+00 -0.168E-01  0.327E-01  0.148E-01
    8   0.345E-01 -0.358E+00 -0.577E-02  0.139E-01  0.734E-02
    9   0.221E-01 -0.283E+00 -0.108E-02  0.611E-02  0.356E-02
   10   0.151E-01 -0.210E+00 -0.178E-03  0.295E-02  0.177E-02
   11   0.106E-01 -0.151E+00  0.257E-04  0.146E-02  0.882E-03
   12   0.753E-02 -0.106E+00  0.125E-04  0.737E-03  0.440E-03
   13   0.536E-02 -0.752E-01  0.444E-05  0.373E-03  0.220E-03
   14   0.381E-02 -0.532E-01  0.267E-07  0.189E-03  0.110E-03
   15   0.270E-02 -0.378E-01 -0.194E-05  0.957E-04  0.551E-04
   16   0.191E-02 -0.269E-01 -0.810E-07  0.480E-04  0.277E-04
   17   0.136E-02 -0.191E-01  0.174E-06  0.241E-04  0.140E-04
   18   0.964E-03 -0.136E-01 -0.165E-06  0.122E-04  0.709E-05
   19   0.682E-03 -0.965E-02 -0.993E-07  0.612E-05  0.357E-05
   20   0.483E-03 -0.687E-02 -0.596E-07  0.307E-05  0.180E-05
   21   0.341E-03 -0.490E-02 -0.439E-07  0.154E-05  0.903E-06
   22   0.240E-03 -0.350E-02 -0.416E-07  0.776E-06  0.454E-06
   23   0.169E-03 -0.251E-02 -0.423E-07  0.390E-06  0.229E-06
   24   0.117E-03 -0.182E-02 -0.427E-07  0.195E-06  0.115E-06
   25   0.789E-04 -0.135E-02 -0.431E-07  0.982E-07  0.589E-07
   26   0.502E-04 -0.104E-02 -0.134E-07  0.436E-07  0.272E-07
   27   0.331E-04 -0.772E-03  0.168E-11  0.197E-07  0.126E-07
   28   0.232E-04 -0.540E-03  0.168E-11  0.965E-08  0.619E-08
   29   0.163E-04 -0.378E-03  0.168E-11  0.473E-08  0.303E-08
   30   0.114E-04 -0.265E-03  0.168E-11  0.232E-08  0.149E-08
   31   0.797E-05 -0.185E-03  0.168E-11  0.114E-08  0.729E-09
   32   0.558E-05 -0.130E-03  0.168E-11  0.558E-09  0.357E-09
   33   0.391E-05 -0.908E-04  0.168E-11  0.273E-09  0.175E-09
   34   0.274E-05 -0.635E-04  0.131E-11  0.134E-09  0.859E-10
   35   0.192E-05 -0.444E-04  0.639E-12  0.659E-10  0.421E-10
   36   0.135E-05 -0.310E-04  0.293E-12  0.324E-10  0.207E-10
   37   0.946E-06 -0.217E-04  0.146E-12  0.159E-10  0.101E-10
   38   0.664E-06 -0.152E-04  0.557E-13  0.781E-11  0.498E-11
   39   0.465E-06 -0.106E-04  0.201E-13  0.384E-11  0.244E-11
   40   0.326E-06 -0.743E-05  0.000E+00  0.189E-11  0.120E-11
   41   0.229E-06 -0.521E-05  0.000E+00  0.182E-11  0.116E-11
