                      RAYLEIGH WAVE      MODE #  0
        T = 0.1000E+02 C =    0.2598E+01 U   = 0.1571E+01
        AR= 0.2447E-03 GAMMA= 0.2330E-03 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1   0.123E+02  0.000E+00  0.100E+01  0.000E+00 -0.843E+00  0.382E-01  0.103E+01 -0.277E+00
    2   0.678E+01 -0.509E+01  0.268E+01 -0.189E+01 -0.305E+00  0.751E-01  0.362E+00 -0.258E-01
    3   0.436E+01 -0.585E+01  0.328E+01 -0.583E+01 -0.157E+00  0.980E-01  0.787E-01 -0.286E-02
    4   0.283E+01 -0.397E+01  0.338E+01 -0.101E+02 -0.946E-01  0.947E-01 -0.245E-01 -0.431E-02
    5   0.183E+01 -0.719E+00  0.326E+01 -0.138E+02 -0.834E-01  0.793E-01 -0.428E-01 -0.517E-02
    6   0.113E+01  0.231E+01  0.302E+01 -0.166E+02 -0.796E-01  0.667E-01 -0.291E-01  0.497E-02
    7   0.680E+00  0.486E+01  0.269E+01 -0.184E+02 -0.679E-01  0.531E-01 -0.808E-02  0.156E-01
    8   0.410E+00  0.711E+01  0.235E+01 -0.194E+02 -0.361E-01  0.317E-01  0.571E-02  0.140E-01
    9   0.195E+00  0.925E+01  0.209E+01 -0.197E+02 -0.126E-01  0.171E-01  0.142E-01  0.110E-01
   10   0.345E-02  0.109E+02  0.189E+01 -0.194E+02 -0.463E-02  0.100E-01  0.221E-01  0.123E-01
   11  -0.143E+00  0.118E+02  0.171E+01 -0.186E+02 -0.880E-03  0.583E-02  0.272E-01  0.136E-01
   12  -0.250E+00  0.120E+02  0.154E+01 -0.175E+02 -0.104E-02  0.359E-02  0.301E-01  0.150E-01
   13  -0.315E+00  0.117E+02  0.138E+01 -0.163E+02 -0.140E-02  0.224E-02  0.303E-01  0.151E-01
   14  -0.350E+00  0.112E+02  0.123E+01 -0.150E+02 -0.185E-02  0.142E-02  0.285E-01  0.143E-01
   15  -0.361E+00  0.105E+02  0.108E+01 -0.136E+02 -0.223E-02  0.929E-03  0.257E-01  0.129E-01
   16  -0.355E+00  0.974E+01  0.946E+00 -0.123E+02 -0.155E-02  0.581E-03  0.219E-01  0.112E-01
   17  -0.342E+00  0.887E+01  0.824E+00 -0.111E+02 -0.140E-02  0.389E-03  0.184E-01  0.959E-02
   18  -0.324E+00  0.797E+01  0.713E+00 -0.992E+01 -0.174E-02  0.283E-03  0.152E-01  0.811E-02
   19  -0.299E+00  0.711E+01  0.612E+00 -0.885E+01 -0.164E-02  0.196E-03  0.122E-01  0.659E-02
   20  -0.272E+00  0.629E+01  0.521E+00 -0.787E+01 -0.153E-02  0.139E-03  0.965E-02  0.527E-02
   21  -0.244E+00  0.553E+01  0.441E+00 -0.699E+01 -0.147E-02  0.103E-03  0.752E-02  0.417E-02
   22  -0.217E+00  0.484E+01  0.369E+00 -0.619E+01 -0.146E-02  0.830E-04  0.580E-02  0.327E-02
   23  -0.188E+00  0.424E+01  0.306E+00 -0.548E+01 -0.146E-02  0.734E-04  0.442E-02  0.255E-02
   24  -0.159E+00  0.374E+01  0.251E+00 -0.483E+01 -0.147E-02  0.715E-04  0.333E-02  0.197E-02
   25  -0.128E+00  0.335E+01  0.203E+00 -0.424E+01 -0.148E-02  0.770E-04  0.248E-02  0.153E-02
   26  -0.946E-01  0.308E+01  0.162E+00 -0.367E+01 -0.555E-03  0.302E-04  0.150E-02  0.930E-03
   27  -0.745E-01  0.277E+01  0.134E+00 -0.314E+01  0.213E-05  0.715E-05  0.929E-03  0.570E-03
   28  -0.649E-01  0.239E+01  0.114E+00 -0.268E+01  0.213E-05  0.452E-05  0.688E-03  0.423E-03
   29  -0.562E-01  0.205E+01  0.961E-01 -0.227E+01  0.213E-05  0.286E-05  0.507E-03  0.312E-03
   30  -0.485E-01  0.175E+01  0.812E-01 -0.193E+01  0.213E-05  0.180E-05  0.371E-03  0.228E-03
   31  -0.417E-01  0.150E+01  0.685E-01 -0.163E+01  0.213E-05  0.113E-05  0.270E-03  0.166E-03
   32  -0.358E-01  0.127E+01  0.577E-01 -0.138E+01  0.213E-05  0.703E-06  0.195E-03  0.120E-03
   33  -0.306E-01  0.108E+01  0.486E-01 -0.116E+01  0.213E-05  0.433E-06  0.141E-03  0.868E-04
   34  -0.261E-01  0.915E+00  0.409E-01 -0.977E+00  0.189E-05  0.266E-06  0.101E-03  0.624E-04
   35  -0.223E-01  0.773E+00  0.343E-01 -0.822E+00  0.127E-05  0.167E-06  0.726E-04  0.447E-04
   36  -0.189E-01  0.652E+00  0.288E-01 -0.690E+00  0.809E-06  0.105E-06  0.519E-04  0.319E-04
   37  -0.161E-01  0.549E+00  0.242E-01 -0.579E+00  0.520E-06  0.664E-07  0.370E-04  0.227E-04
   38  -0.136E-01  0.462E+00  0.202E-01 -0.485E+00  0.265E-06  0.426E-07  0.263E-04  0.162E-04
   39  -0.115E-01  0.388E+00  0.169E-01 -0.406E+00  0.119E-06  0.274E-07  0.186E-04  0.114E-04
   40  -0.973E-02  0.326E+00  0.141E-01 -0.340E+00  0.000E+00  0.181E-07  0.132E-04  0.809E-05
   41  -0.818E-02  0.273E+00  0.118E-01 -0.284E+00  0.000E+00  0.314E-07  0.309E-04  0.190E-04
