                   LOVE WAVE        MODE #  0
        T = 0.7750E+01 C =    0.1286E+01 U   = 0.4825E+00
        AL= 0.6768E+00 GAMMA= 0.1400E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.178E+01  0.321E+01 -0.313E+00
    2   0.354E+00 -0.624E+00 -0.294E+00  0.771E+00  0.118E+00
    3   0.160E+00 -0.655E+00 -0.706E-01  0.222E+00  0.635E-01
    4   0.758E-01 -0.516E+00 -0.884E-02  0.603E-01  0.234E-01
    5   0.411E-01 -0.335E+00 -0.206E-02  0.193E-01  0.826E-02
    6   0.226E-01 -0.208E+00 -0.132E-02  0.636E-02  0.285E-02
    7   0.116E-01 -0.134E+00 -0.651E-03  0.195E-02  0.959E-03
    8   0.542E-02 -0.897E-01 -0.148E-03  0.511E-03  0.288E-03
    9   0.264E-02 -0.567E-01 -0.172E-04  0.136E-03  0.845E-04
   10   0.139E-02 -0.330E-01 -0.198E-05  0.398E-04  0.255E-04
   11   0.758E-03 -0.186E-01  0.118E-06  0.120E-04  0.770E-05
   12   0.421E-03 -0.103E-01  0.401E-07  0.368E-05  0.234E-05
   13   0.234E-03 -0.566E-02  0.108E-07  0.114E-05  0.714E-06
   14   0.130E-03 -0.312E-02  0.100E-08  0.350E-06  0.218E-06
   15   0.720E-04 -0.173E-02 -0.163E-08  0.108E-06  0.664E-07
   16   0.397E-04 -0.963E-03 -0.337E-10  0.330E-07  0.203E-07
   17   0.220E-04 -0.534E-03  0.904E-10  0.101E-07  0.626E-08
   18   0.122E-04 -0.295E-03 -0.189E-10  0.310E-08  0.193E-08
   19   0.674E-05 -0.164E-03 -0.616E-11  0.951E-09  0.591E-09
   20   0.372E-05 -0.908E-04 -0.145E-11  0.291E-09  0.181E-09
   21   0.206E-05 -0.504E-04 -0.306E-12  0.891E-10  0.555E-10
   22   0.114E-05 -0.279E-04 -0.202E-12  0.273E-10  0.170E-10
   23   0.629E-06 -0.155E-04 -0.222E-12  0.837E-11  0.521E-11
   24   0.345E-06 -0.867E-05 -0.228E-12  0.256E-11  0.160E-11
   25   0.184E-06 -0.495E-05 -0.231E-12  0.787E-12  0.493E-12
   26   0.904E-07 -0.303E-05 -0.501E-13  0.214E-12  0.139E-12
   27   0.456E-07 -0.180E-05  0.114E-18  0.588E-13  0.393E-13
   28   0.250E-07 -0.983E-06  0.114E-18  0.176E-13  0.118E-13
   29   0.137E-07 -0.538E-06  0.114E-18  0.529E-14  0.354E-14
   30   0.750E-08 -0.295E-06  0.114E-18  0.159E-14  0.106E-14
   31   0.410E-08 -0.161E-06  0.114E-18  0.476E-15  0.318E-15
   32   0.225E-08 -0.884E-07  0.114E-18  0.143E-15  0.954E-16
   33   0.123E-08 -0.484E-07  0.114E-18  0.428E-16  0.286E-16
   34   0.675E-09 -0.265E-07  0.699E-19  0.128E-16  0.858E-17
   35   0.370E-09 -0.145E-07  0.212E-19  0.386E-17  0.257E-17
   36   0.203E-09 -0.792E-08  0.597E-20  0.116E-17  0.772E-18
   37   0.111E-09 -0.433E-08  0.198E-20  0.348E-18  0.232E-18
   38   0.611E-10 -0.237E-08  0.485E-21  0.105E-18  0.696E-19
   39   0.335E-10 -0.129E-08  0.124E-21  0.314E-19  0.209E-19
   40   0.184E-10 -0.708E-09  0.000E+00  0.945E-20  0.627E-20
   41   0.101E-10 -0.388E-09  0.000E+00  0.405E-20  0.269E-20
