                   LOVE WAVE        MODE #  0
        T = 0.5500E+01 C =    0.8467E+00 U   = 0.4717E+00
        AL= 0.1351E+01 GAMMA= 0.2018E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.652E+00  0.215E+01 -0.603E-01
    2   0.201E+00 -0.739E+00 -0.234E-01  0.178E+00  0.384E-01
    3   0.445E-01 -0.379E+00 -0.147E-02  0.127E-01  0.424E-02
    4   0.980E-02 -0.149E+00 -0.374E-04  0.814E-03  0.354E-03
    5   0.256E-02 -0.466E-01 -0.116E-05  0.608E-04  0.286E-04
    6   0.698E-03 -0.136E-01 -0.235E-06  0.471E-05  0.228E-05
    7   0.179E-03 -0.419E-02 -0.375E-07  0.343E-06  0.177E-06
    8   0.405E-04 -0.138E-02 -0.225E-08  0.215E-07  0.127E-07
    9   0.936E-05 -0.433E-03 -0.620E-10  0.136E-08  0.877E-09
   10   0.238E-05 -0.124E-03 -0.194E-11  0.939E-10  0.623E-10
   11   0.624E-06 -0.342E-04  0.180E-13  0.666E-11  0.444E-11
   12   0.168E-06 -0.915E-05  0.160E-14  0.484E-12  0.319E-12
   13   0.454E-07 -0.245E-05  0.124E-15  0.352E-13  0.230E-13
   14   0.123E-07 -0.657E-06  0.628E-17  0.256E-14  0.165E-14
   15   0.331E-08 -0.176E-06 -0.111E-17  0.187E-15  0.119E-15
   16   0.885E-09 -0.478E-07 -0.150E-19  0.135E-16  0.860E-17
   17   0.238E-09 -0.129E-07  0.406E-20  0.971E-18  0.625E-18
   18   0.643E-10 -0.345E-08 -0.125E-21  0.705E-19  0.455E-19
   19   0.173E-10 -0.929E-09 -0.106E-22  0.510E-20  0.329E-20
   20   0.464E-11 -0.251E-09 -0.584E-24  0.368E-21  0.238E-21
   21   0.125E-11 -0.676E-10 -0.120E-25  0.266E-22  0.172E-22
   22   0.335E-12 -0.182E-10  0.508E-27  0.193E-23  0.124E-23
   23   0.901E-13 -0.489E-11 -0.268E-28  0.139E-24  0.900E-25
   24   0.242E-13 -0.132E-11 -0.655E-28  0.101E-25  0.651E-26
   25   0.647E-14 -0.357E-12 -0.711E-28  0.732E-27  0.471E-27
   26   0.153E-14 -0.107E-12 -0.438E-29  0.475E-28  0.316E-28
   27   0.367E-15 -0.317E-13  0.000E+00  0.308E-29  0.211E-29
   28   0.976E-16 -0.844E-14  0.000E+00  0.219E-30  0.150E-30
   29   0.260E-16 -0.225E-14  0.000E+00  0.155E-31  0.106E-31
   30   0.693E-17 -0.599E-15  0.000E+00  0.110E-32  0.755E-33
   31   0.185E-17 -0.159E-15  0.000E+00  0.781E-34  0.535E-34
   32   0.492E-18 -0.425E-16  0.000E+00  0.554E-35  0.380E-35
   33   0.131E-18 -0.113E-16  0.000E+00  0.000E+00  0.000E+00
   34   0.349E-19 -0.301E-17  0.000E+00  0.000E+00  0.000E+00
   35   0.931E-20 -0.801E-18  0.000E+00  0.000E+00  0.000E+00
   36   0.248E-20 -0.213E-18  0.000E+00  0.000E+00  0.000E+00
   37   0.663E-21 -0.567E-19  0.000E+00  0.000E+00  0.000E+00
   38   0.177E-21 -0.151E-19  0.000E+00  0.000E+00  0.000E+00
   39   0.472E-22 -0.401E-20  0.000E+00  0.000E+00  0.000E+00
   40   0.126E-22 -0.107E-20  0.000E+00  0.000E+00  0.000E+00
   41   0.336E-23 -0.284E-21  0.000E+00  0.000E+00  0.000E+00
