                      RAYLEIGH WAVE      MODE #  0
        T = 0.3500E+01 C =    0.7720E+00 U   = 0.2900E+00
        AR= 0.2017E+01 GAMMA= 0.4946E-02 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1   0.343E+00  0.000E+00  0.100E+01  0.000E+00 -0.127E+01  0.867E-01  0.271E+01 -0.840E-01
    2  -0.873E-01  0.147E+01  0.164E+00 -0.198E+01 -0.174E-01  0.172E-02  0.235E+00  0.577E-01
    3  -0.143E-01  0.483E+00  0.209E-01 -0.583E+00 -0.312E-03  0.342E-04  0.661E-02  0.236E-02
    4  -0.167E-02  0.100E+00  0.230E-02 -0.115E+00 -0.188E-05  0.430E-06  0.113E-03  0.513E-04
    5  -0.224E-03  0.158E-01  0.289E-03 -0.174E-01 -0.113E-07  0.481E-08  0.206E-05  0.101E-05
    6  -0.299E-04  0.221E-02  0.368E-04 -0.239E-02 -0.488E-09  0.591E-10  0.359E-07  0.180E-07
    7  -0.352E-05  0.300E-03  0.418E-05 -0.324E-03 -0.158E-10  0.891E-12  0.523E-09  0.279E-09
    8  -0.337E-06  0.414E-04  0.396E-06 -0.446E-04 -0.170E-12  0.941E-14  0.581E-11  0.349E-11
    9  -0.326E-07  0.549E-05  0.381E-07 -0.587E-05 -0.837E-15  0.805E-16  0.645E-13  0.424E-13
   10  -0.358E-08  0.678E-06  0.412E-08 -0.719E-06 -0.494E-17  0.773E-18  0.824E-15  0.555E-15
   11  -0.404E-09  0.807E-07  0.460E-09 -0.848E-07  0.753E-20  0.711E-20  0.107E-16  0.727E-17
   12  -0.470E-10  0.927E-08  0.526E-10 -0.968E-08  0.121E-21  0.674E-22  0.143E-18  0.955E-19
   13  -0.539E-11  0.105E-08  0.597E-11 -0.109E-08  0.169E-23  0.639E-24  0.185E-20  0.123E-20
   14  -0.612E-12  0.118E-09  0.671E-12 -0.122E-09  0.177E-25  0.608E-26  0.236E-22  0.154E-22
   15  -0.688E-13  0.131E-10  0.748E-13 -0.136E-10 -0.463E-27  0.607E-28  0.295E-24  0.191E-24
   16  -0.756E-14  0.146E-11  0.817E-14 -0.151E-11 -0.127E-29  0.589E-30  0.357E-26  0.232E-26
   17  -0.831E-15  0.161E-12  0.894E-15 -0.165E-12  0.486E-31  0.583E-32  0.430E-28  0.281E-28
   18  -0.916E-16  0.176E-13  0.981E-16 -0.180E-13 -0.221E-33  0.608E-34  0.516E-30  0.338E-30
   19  -0.995E-17  0.191E-14  0.106E-16 -0.195E-14 -0.308E-35  0.000E+00  0.607E-32  0.398E-32
   20  -0.107E-17  0.207E-15  0.114E-17 -0.212E-15  0.000E+00  0.000E+00  0.708E-34  0.464E-34
   21  -0.116E-18  0.224E-16  0.123E-18 -0.228E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   22  -0.124E-19  0.241E-17  0.131E-19 -0.245E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   23  -0.133E-20  0.258E-18  0.141E-20 -0.262E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   24  -0.143E-21  0.276E-19  0.150E-21 -0.280E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   25  -0.153E-22  0.293E-20  0.159E-22 -0.300E-20  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   26  -0.138E-23  0.336E-21  0.143E-23 -0.343E-21  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   27  -0.125E-24  0.381E-22  0.131E-24 -0.387E-22  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   28  -0.131E-25  0.402E-23  0.138E-25 -0.408E-23  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   29  -0.138E-26  0.423E-24  0.145E-26 -0.429E-24  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   30  -0.146E-27  0.445E-25  0.152E-27 -0.451E-25  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   31  -0.153E-28  0.467E-26  0.159E-28 -0.473E-26  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   32  -0.160E-29  0.488E-27  0.167E-29 -0.495E-27  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   33  -0.167E-30  0.511E-28  0.174E-30 -0.517E-28  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   34  -0.175E-31  0.533E-29  0.182E-31 -0.539E-29  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   35  -0.183E-32  0.555E-30  0.190E-32 -0.561E-30  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   36  -0.191E-33  0.577E-31  0.198E-33 -0.583E-31  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   37  -0.199E-34  0.600E-32  0.206E-34 -0.606E-32  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   38  -0.207E-35  0.623E-33  0.214E-35 -0.628E-33  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   39   0.000E+00  0.646E-34  0.000E+00 -0.651E-34  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   40   0.000E+00  0.669E-35  0.000E+00 -0.675E-35  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
